distance x [m],distance y [m],distance z [m],angle x [rad],angle y [rad],angle z [rad]
0.0448409596,0.0347373834,2.1551757706,3.1224720478,-0.5374515057,0.0098679932
0.0455418899,0.0346699074,2.1522445757,3.0699069500,-0.4902633429,0.0095551871
0.0448409596,0.0347373834,2.1551757706,3.1224720478,-0.5374515057,0.0098679932
0.0455418899,0.0346699074,2.1522445757,3.0699069500,-0.4902633429,0.0095551871
0.0455418899,0.0346699074,2.1522445757,3.0699069500,-0.4902633429,0.0095551871
0.0455418899,0.0346699074,2.1522445757,3.0699069500,-0.4902633429,0.0095551871
0.0455418899,0.0346699074,2.1522445757,3.0699069500,-0.4902633429,0.0095551871
0.0455418899,0.0346699074,2.1522445757,3.0699069500,-0.4902633429,0.0095551871
0.0448409596,0.0347373834,2.1551757706,3.1224720478,-0.5374515057,0.0098679932
0.0448409596,0.0347373834,2.1551757706,3.1224720478,-0.5374515057,0.0098679932
0.0455418899,0.0346699074,2.1522445757,3.0699069500,-0.4902633429,0.0095551871
0.0455418899,0.0346699074,2.1522445757,3.0699069500,-0.4902633429,0.0095551871
0.0448409596,0.0347373834,2.1551757706,3.1224720478,-0.5374515057,0.0098679932
0.0455418899,0.0346699074,2.1522445757,3.0699069500,-0.4902633429,0.0095551871
0.0455418899,0.0346699074,2.1522445757,3.0699069500,-0.4902633429,0.0095551871
0.0448409596,0.0347373834,2.1551757706,3.1224720478,-0.5374515057,0.0098679932
0.0455418899,0.0346699074,2.1522445757,3.0699069500,-0.4902633429,0.0095551871
0.0448409596,0.0347373834,2.1551757706,3.1224720478,-0.5374515057,0.0098679932
0.0455418899,0.0346699074,2.1522445757,3.0699069500,-0.4902633429,0.0095551871
0.0455418899,0.0346699074,2.1522445757,3.0699069500,-0.4902633429,0.0095551871
0.0455418899,0.0346699074,2.1522445757,3.0699069500,-0.4902633429,0.0095551871
0.0455418899,0.0346699074,2.1522445757,3.0699069500,-0.4902633429,0.0095551871
0.0455418899,0.0346699074,2.1522445757,3.0699069500,-0.4902633429,0.0095551871
0.0455418899,0.0346699074,2.1522445757,3.0699069500,-0.4902633429,0.0095551871
0.0455418899,0.0346699074,2.1522445757,3.0699069500,-0.4902633429,0.0095551871
0.0455418899,0.0346699074,2.1522445757,3.0699069500,-0.4902633429,0.0095551871
0.0455418899,0.0346699074,2.1522445757,3.0699069500,-0.4902633429,0.0095551871
0.0448409596,0.0347373834,2.1551757706,3.1224720478,-0.5374515057,0.0098679932
0.0455418899,0.0346699074,2.1522445757,3.0699069500,-0.4902633429,0.0095551871
0.0448409596,0.0347373834,2.1551757706,3.1224720478,-0.5374515057,0.0098679932
0.0455418899,0.0346699074,2.1522445757,3.0699069500,-0.4902633429,0.0095551871
0.0448409596,0.0347373834,2.1551757706,3.1224720478,-0.5374515057,0.0098679932
0.0455418899,0.0346699074,2.1522445757,3.0699069500,-0.4902633429,0.0095551871
0.0455418899,0.0346699074,2.1522445757,3.0699069500,-0.4902633429,0.0095551871
0.0455418899,0.0346699074,2.1522445757,3.0699069500,-0.4902633429,0.0095551871
0.0455418899,0.0346699074,2.1522445757,3.0699069500,-0.4902633429,0.0095551871
0.0455418899,0.0346699074,2.1522445757,3.0699069500,-0.4902633429,0.0095551871
0.0455418899,0.0346699074,2.1522445757,3.0699069500,-0.4902633429,0.0095551871
0.0455418899,0.0346699074,2.1522445757,3.0699069500,-0.4902633429,0.0095551871
0.0455418899,0.0346699074,2.1522445757,3.0699069500,-0.4902633429,0.0095551871
0.0455418899,0.0346699074,2.1522445757,3.0699069500,-0.4902633429,0.0095551871
0.0455418899,0.0346699074,2.1522445757,3.0699069500,-0.4902633429,0.0095551871
0.0455418899,0.0346699074,2.1522445757,3.0699069500,-0.4902633429,0.0095551871
0.0455418899,0.0346699074,2.1522445757,3.0699069500,-0.4902633429,0.0095551871
0.0455418899,0.0346699074,2.1522445757,3.0699069500,-0.4902633429,0.0095551871
0.0455418899,0.0346699074,2.1522445757,3.0699069500,-0.4902633429,0.0095551871
0.0455418899,0.0346699074,2.1522445757,3.0699069500,-0.4902633429,0.0095551871
0.0455418899,0.0346699074,2.1522445757,3.0699069500,-0.4902633429,0.0095551871
0.0455418899,0.0346699074,2.1522445757,3.0699069500,-0.4902633429,0.0095551871
0.0448409596,0.0347373834,2.1551757706,3.1224720478,-0.5374515057,0.0098679932
0.0455418899,0.0346699074,2.1522445757,3.0699069500,-0.4902633429,0.0095551871
0.0455418899,0.0346699074,2.1522445757,3.0699069500,-0.4902633429,0.0095551871
0.0455418899,0.0346699074,2.1522445757,3.0699069500,-0.4902633429,0.0095551871
0.0455418899,0.0346699074,2.1522445757,3.0699069500,-0.4902633429,0.0095551871
0.0455418899,0.0346699074,2.1522445757,3.0699069500,-0.4902633429,0.0095551871
0.0455418899,0.0346699074,2.1522445757,3.0699069500,-0.4902633429,0.0095551871
0.0448409596,0.0347373834,2.1551757706,3.1224720478,-0.5374515057,0.0098679932
0.0448409596,0.0347373834,2.1551757706,3.1224720478,-0.5374515057,0.0098679932
0.0448409596,0.0347373834,2.1551757706,3.1224720478,-0.5374515057,0.0098679932
0.0448409596,0.0347373834,2.1551757706,3.1224720478,-0.5374515057,0.0098679932
0.0455418899,0.0346699074,2.1522445757,3.0699069500,-0.4902633429,0.0095551871
0.0455418899,0.0346699074,2.1522445757,3.0699069500,-0.4902633429,0.0095551871
0.0455418899,0.0346699074,2.1522445757,3.0699069500,-0.4902633429,0.0095551871
0.0448409596,0.0347373834,2.1551757706,3.1224720478,-0.5374515057,0.0098679932
0.0455418899,0.0346699074,2.1522445757,3.0699069500,-0.4902633429,0.0095551871
0.0455418899,0.0346699074,2.1522445757,3.0699069500,-0.4902633429,0.0095551871
0.0455418899,0.0346699074,2.1522445757,3.0699069500,-0.4902633429,0.0095551871
0.0455418899,0.0346699074,2.1522445757,3.0699069500,-0.4902633429,0.0095551871
0.0448409596,0.0347373834,2.1551757706,3.1224720478,-0.5374515057,0.0098679932
0.0455418899,0.0346699074,2.1522445757,3.0699069500,-0.4902633429,0.0095551871
0.0455418899,0.0346699074,2.1522445757,3.0699069500,-0.4902633429,0.0095551871
0.0448409596,0.0347373834,2.1551757706,3.1224720478,-0.5374515057,0.0098679932
0.0448409596,0.0347373834,2.1551757706,3.1224720478,-0.5374515057,0.0098679932
0.0455418899,0.0346699074,2.1522445757,3.0699069500,-0.4902633429,0.0095551871
0.0448409596,0.0347373834,2.1551757706,3.1224720478,-0.5374515057,0.0098679932
0.0448409596,0.0347373834,2.1551757706,3.1224720478,-0.5374515057,0.0098679932
0.0448409596,0.0347373834,2.1551757706,3.1224720478,-0.5374515057,0.0098679932
0.0455418899,0.0346699074,2.1522445757,3.0699069500,-0.4902633429,0.0095551871
0.0455418899,0.0346699074,2.1522445757,3.0699069500,-0.4902633429,0.0095551871
