distance x [m],distance y [m],distance z [m],angle x [rad],angle y [rad],angle z [rad]
0.0142781893,0.1379199567,1.7190871322,-3.0978729725,0.0691417009,0.0229154658
0.0139499998,0.1410499975,1.7680555659,-3.1415927410,-0.0000000015,0.0000000000
0.0142258704,0.1385541590,1.7279267360,3.0507519245,0.3196665943,-0.0021941632
0.0138461674,0.1359031913,1.6860528111,2.9832892418,0.3824316561,-0.0334691517
0.0134290949,0.1378985114,1.7189909938,-3.1180825233,0.2493687719,0.0051450026
0.0134290949,0.1378985114,1.7189909938,-3.1180825233,0.2493687719,0.0051450026
0.0134290949,0.1378985114,1.7189909938,-3.1180825233,0.2493687719,0.0051450026
0.0142258704,0.1385541590,1.7279267360,3.0507519245,0.3196665943,-0.0021941632
0.0142258704,0.1385541590,1.7279267360,3.0507519245,0.3196665943,-0.0021941632
0.0142258704,0.1385541590,1.7279267360,3.0507519245,0.3196665943,-0.0021941632
0.0143251690,0.1368665094,1.7143750871,-2.9571747780,-0.0892345533,0.0067872861
0.0134290949,0.1378985114,1.7189909938,-3.1180825233,0.2493687719,0.0051450026
0.0142781893,0.1379199567,1.7190871322,-3.0978729725,0.0691417009,0.0229154658
0.0127551180,0.1359852740,1.6861420604,3.1271340847,-0.3668868244,0.0299172122
0.0134290949,0.1378985114,1.7189909938,-3.1180825233,0.2493687719,0.0051450026
0.0134290949,0.1378985114,1.7189909938,-3.1180825233,0.2493687719,0.0051450026
0.0142258704,0.1385541590,1.7279267360,3.0507519245,0.3196665943,-0.0021941632
0.0142258704,0.1385541590,1.7279267360,3.0507519245,0.3196665943,-0.0021941632
0.0134290949,0.1378985114,1.7189909938,-3.1180825233,0.2493687719,0.0051450026
0.0142258704,0.1385541590,1.7279267360,3.0507519245,0.3196665943,-0.0021941632
0.9821453309,-0.1961859443,2.6179369592,-1.7030822039,1.2489271164,0.1092849672
0.0142258704,0.1385541590,1.7279267360,3.0507519245,0.3196665943,-0.0021941632
0.0134290949,0.1378985114,1.7189909938,-3.1180825233,0.2493687719,0.0051450026
0.0134886747,0.1362577328,1.6899710480,3.0602085590,-0.2885231972,0.0238820259
0.9821453309,-0.1961859443,2.6179369592,-1.7030822039,1.2489271164,0.1092849672
0.0134290949,0.1378985114,1.7189909938,-3.1180825233,0.2493687719,0.0051450026
0.0134290949,0.1378985114,1.7189909938,-3.1180825233,0.2493687719,0.0051450026
0.0143251690,0.1368665094,1.7143750871,-2.9571747780,-0.0892345533,0.0067872861
0.9821453309,-0.1961859443,2.6179369592,-1.7030822039,1.2489271164,0.1092849672
0.0143251690,0.1368665094,1.7143750871,-2.9571747780,-0.0892345533,0.0067872861
0.0134886747,0.1362577328,1.6899710480,3.0602085590,-0.2885231972,0.0238820259
0.0142258704,0.1385541590,1.7279267360,3.0507519245,0.3196665943,-0.0021941632
0.0134290949,0.1378985114,1.7189909938,-3.1180825233,0.2493687719,0.0051450026
0.0139499998,0.1410499975,1.7680555659,-3.1415927410,-0.0000000015,0.0000000000
0.0134290949,0.1378985114,1.7189909938,-3.1180825233,0.2493687719,0.0051450026
0.0143251690,0.1368665094,1.7143750871,-2.9571747780,-0.0892345533,0.0067872861
0.0134290949,0.1378985114,1.7189909938,-3.1180825233,0.2493687719,0.0051450026
0.0142258704,0.1385541590,1.7279267360,3.0507519245,0.3196665943,-0.0021941632
0.0142258704,0.1385541590,1.7279267360,3.0507519245,0.3196665943,-0.0021941632
0.0142258704,0.1385541590,1.7279267360,3.0507519245,0.3196665943,-0.0021941632
0.0142258704,0.1385541590,1.7279267360,3.0507519245,0.3196665943,-0.0021941632
0.0138461674,0.1359031913,1.6860528111,2.9832892418,0.3824316561,-0.0334691517
0.0134688723,0.1354715717,1.6795249780,-3.1186878681,-0.4354465604,0.0376164690
0.0139499998,0.1410499975,1.7680555659,-3.1415927410,-0.0000000015,0.0000000000
0.0142258704,0.1385541590,1.7279267360,3.0507519245,0.3196665943,-0.0021941632
0.0134290949,0.1378985114,1.7189909938,-3.1180825233,0.2493687719,0.0051450026
0.0143251690,0.1368665094,1.7143750871,-2.9571747780,-0.0892345533,0.0067872861
0.0127105558,0.1385598929,1.7278959799,3.0681009293,0.3194258809,0.0007174074
0.0142258704,0.1385541590,1.7279267360,3.0507519245,0.3196665943,-0.0021941632
0.0142258704,0.1385541590,1.7279267360,3.0507519245,0.3196665943,-0.0021941632
0.0134290949,0.1378985114,1.7189909938,-3.1180825233,0.2493687719,0.0051450026
0.0134290949,0.1378985114,1.7189909938,-3.1180825233,0.2493687719,0.0051450026
0.0143251690,0.1368665094,1.7143750871,-2.9571747780,-0.0892345533,0.0067872861
0.0134290949,0.1378985114,1.7189909938,-3.1180825233,0.2493687719,0.0051450026
0.0134886747,0.1362577328,1.6899710480,3.0602085590,-0.2885231972,0.0238820259
0.0134290949,0.1378985114,1.7189909938,-3.1180825233,0.2493687719,0.0051450026
0.0142258704,0.1385541590,1.7279267360,3.0507519245,0.3196665943,-0.0021941632
0.0134290949,0.1378985114,1.7189909938,-3.1180825233,0.2493687719,0.0051450026
0.0143251690,0.1368665094,1.7143750871,-2.9571747780,-0.0892345533,0.0067872861
0.0138461674,0.1359031913,1.6860528111,2.9832892418,0.3824316561,-0.0334691517
0.0142258704,0.1385541590,1.7279267360,3.0507519245,0.3196665943,-0.0021941632
0.0134290949,0.1378985114,1.7189909938,-3.1180825233,0.2493687719,0.0051450026
0.0134886747,0.1362577328,1.6899710480,3.0602085590,-0.2885231972,0.0238820259
0.0142258704,0.1385541590,1.7279267360,3.0507519245,0.3196665943,-0.0021941632
0.0134290949,0.1378985114,1.7189909938,-3.1180825233,0.2493687719,0.0051450026
0.0134886747,0.1362577328,1.6899710480,3.0602085590,-0.2885231972,0.0238820259
0.0142258704,0.1385541590,1.7279267360,3.0507519245,0.3196665943,-0.0021941632
0.0134886747,0.1362577328,1.6899710480,3.0602085590,-0.2885231972,0.0238820259
0.0134290949,0.1378985114,1.7189909938,-3.1180825233,0.2493687719,0.0051450026
0.0139499998,0.1410499975,1.7680555659,-3.1415927410,-0.0000000015,0.0000000000
0.0142258704,0.1385541590,1.7279267360,3.0507519245,0.3196665943,-0.0021941632
0.0138461674,0.1359031913,1.6860528111,2.9832892418,0.3824316561,-0.0334691517
0.0142258704,0.1385541590,1.7279267360,3.0507519245,0.3196665943,-0.0021941632
