distance x [m],distance y [m],distance z [m],x anlge [rad],y angle [rad],z angle [rad]
-0.0341560354,-0.7101706781,4.5024549410,-2.1693699360,-0.4954304695,-0.6179461479
-0.0341560354,-0.7101706781,4.5024549410,-2.1693699360,-0.4954304695,-0.6179461479
-0.0341664749,-0.7118258335,4.5056709332,-2.1881389618,-0.5066270828,-0.6086978912
-0.0341664749,-0.7118258335,4.5056709332,-2.1881389618,-0.5066270828,-0.6086978912
-0.0341560354,-0.7101706781,4.5024549410,-2.1693699360,-0.4954304695,-0.6179461479
-0.0325307940,-0.6993429709,4.4411472396,-2.1771376133,-0.4887842834,-0.6207705736
-0.0325307940,-0.6993429709,4.4411472396,-2.1771376133,-0.4887842834,-0.6207705736
-0.0341664749,-0.7118258335,4.5056709332,-2.1881389618,-0.5066270828,-0.6086978912
-0.0325307940,-0.6993429709,4.4411472396,-2.1771376133,-0.4887842834,-0.6207705736
-0.0327266871,-0.7038812994,4.4627456790,-2.1568503380,-0.4912472069,-0.6104438305
-0.0341664749,-0.7118258335,4.5056709332,-2.1881389618,-0.5066270828,-0.6086978912
-0.0341664749,-0.7118258335,4.5056709332,-2.1881389618,-0.5066270828,-0.6086978912
-0.0341664749,-0.7118258335,4.5056709332,-2.1881389618,-0.5066270828,-0.6086978912
-0.0357982026,-0.7419055629,4.7105768078,-2.1618437767,-0.5074709058,-0.6368299127
-0.0341664749,-0.7118258335,4.5056709332,-2.1881389618,-0.5066270828,-0.6086978912
-0.0325307940,-0.6993429709,4.4411472396,-2.1771376133,-0.4887842834,-0.6207705736
-0.0341560354,-0.7101706781,4.5024549410,-2.1693699360,-0.4954304695,-0.6179461479
-0.0341560354,-0.7101706781,4.5024549410,-2.1693699360,-0.4954304695,-0.6179461479
-0.0330102076,-0.7117324512,4.5051774429,-2.2009024620,-0.4902397096,-0.5990235209
-0.0341560354,-0.7101706781,4.5024549410,-2.1693699360,-0.4954304695,-0.6179461479
-0.0341664749,-0.7118258335,4.5056709332,-2.1881389618,-0.5066270828,-0.6086978912
-0.0341560354,-0.7101706781,4.5024549410,-2.1693699360,-0.4954304695,-0.6179461479
-0.0341560354,-0.7101706781,4.5024549410,-2.1693699360,-0.4954304695,-0.6179461479
-0.0341560354,-0.7101706781,4.5024549410,-2.1693699360,-0.4954304695,-0.6179461479
-0.0347525116,-0.7110007704,4.5005881144,2.5091094971,0.6232200861,-0.4350491166
-0.0347525116,-0.7110007704,4.5005881144,2.5091094971,0.6232200861,-0.4350491166
-0.0341560354,-0.7101706781,4.5024549410,-2.1693699360,-0.4954304695,-0.6179461479
-0.0341560354,-0.7101706781,4.5024549410,-2.1693699360,-0.4954304695,-0.6179461479
-0.0341664749,-0.7118258335,4.5056709332,-2.1881389618,-0.5066270828,-0.6086978912
-0.0347525116,-0.7110007704,4.5005881144,2.5091094971,0.6232200861,-0.4350491166
-0.0341560354,-0.7101706781,4.5024549410,-2.1693699360,-0.4954304695,-0.6179461479
-0.0341560354,-0.7101706781,4.5024549410,-2.1693699360,-0.4954304695,-0.6179461479
-0.0341560354,-0.7101706781,4.5024549410,-2.1693699360,-0.4954304695,-0.6179461479
-0.0325307940,-0.6993429709,4.4411472396,-2.1771376133,-0.4887842834,-0.6207705736
-0.0341560354,-0.7101706781,4.5024549410,-2.1693699360,-0.4954304695,-0.6179461479
-0.0341560354,-0.7101706781,4.5024549410,-2.1693699360,-0.4954304695,-0.6179461479
-0.0341560354,-0.7101706781,4.5024549410,-2.1693699360,-0.4954304695,-0.6179461479
-0.0325307940,-0.6993429709,4.4411472396,-2.1771376133,-0.4887842834,-0.6207705736
-0.0341664749,-0.7118258335,4.5056709332,-2.1881389618,-0.5066270828,-0.6086978912
-0.0325414908,-0.7010020336,4.4444880477,-2.1956853867,-0.4999106228,-0.6117103696
-0.0341664749,-0.7118258335,4.5056709332,-2.1881389618,-0.5066270828,-0.6086978912
-0.0341560354,-0.7101706781,4.5024549410,-2.1693699360,-0.4954304695,-0.6179461479
-0.0330383651,-0.7134865057,4.5088253871,-2.1946935654,-0.5343440771,-0.6090156436
-0.0341560354,-0.7101706781,4.5024549410,-2.1693699360,-0.4954304695,-0.6179461479
-0.0330102076,-0.7117324512,4.5051774429,-2.2009024620,-0.4902397096,-0.5990235209
-0.0341664749,-0.7118258335,4.5056709332,-2.1881389618,-0.5066270828,-0.6086978912
-0.0341664749,-0.7118258335,4.5056709332,-2.1881389618,-0.5066270828,-0.6086978912
-0.0341560354,-0.7101706781,4.5024549410,-2.1693699360,-0.4954304695,-0.6179461479
-0.0341664749,-0.7118258335,4.5056709332,-2.1881389618,-0.5066270828,-0.6086978912
-0.0341664749,-0.7118258335,4.5056709332,-2.1881389618,-0.5066270828,-0.6086978912
-0.0341560354,-0.7101706781,4.5024549410,-2.1693699360,-0.4954304695,-0.6179461479
-0.0341560354,-0.7101706781,4.5024549410,-2.1693699360,-0.4954304695,-0.6179461479
-0.0347525116,-0.7110007704,4.5005881144,2.5091094971,0.6232200861,-0.4350491166
-0.0325307940,-0.6993429709,4.4411472396,-2.1771376133,-0.4887842834,-0.6207705736
