distance x [m],distance y [m],distance z [m],angle x [rad],angle y [rad],angle z [rad]
-0.0844293904,-0.2153298785,4.3409314330,-2.7265372276,0.0297117494,0.0430326611
-0.0873873323,-0.2239467946,4.5089953916,-2.8511347771,-0.1137952283,0.0374050289
-0.0841453830,-0.2217893142,4.4423210464,2.8977155685,-0.0162664726,0.0415532812
-0.0840246080,-0.2228080128,4.4234193076,2.9646770954,0.0842199922,0.0244549718
-0.0840246080,-0.2228080128,4.4234193076,2.9646770954,0.0842199922,0.0244549718
-0.0881053297,-0.2197853045,4.4282118557,-2.7806231976,-0.0259240065,0.0411494970
-0.0841453830,-0.2217893142,4.4423210464,2.8977155685,-0.0162664726,0.0415532812
-0.0841453830,-0.2217893142,4.4423210464,2.8977155685,-0.0162664726,0.0415532812
-0.0873873323,-0.2239467946,4.5089953916,-2.8511347771,-0.1137952283,0.0374050289
-0.0881053297,-0.2197853045,4.4282118557,-2.7806231976,-0.0259240065,0.0411494970
-0.0867935865,-0.2238910425,4.4463609522,2.9980809689,0.1913409531,0.0320868418
-0.0867935865,-0.2238910425,4.4463609522,2.9980809689,0.1913409531,0.0320868418
-0.0867935865,-0.2238910425,4.4463609522,2.9980809689,0.1913409531,0.0320868418
-0.0881053297,-0.2197853045,4.4282118557,-2.7806231976,-0.0259240065,0.0411494970
-0.0840246080,-0.2228080128,4.4234193076,2.9646770954,0.0842199922,0.0244549718
-0.0867935865,-0.2238910425,4.4463609522,2.9980809689,0.1913409531,0.0320868418
-0.0873873323,-0.2239467946,4.5089953916,-2.8511347771,-0.1137952283,0.0374050289
-0.0873873323,-0.2239467946,4.5089953916,-2.8511347771,-0.1137952283,0.0374050289
-0.0867935865,-0.2238910425,4.4463609522,2.9980809689,0.1913409531,0.0320868418
-0.0840246080,-0.2228080128,4.4234193076,2.9646770954,0.0842199922,0.0244549718
-0.0876715303,-0.2213077736,4.4147098936,-2.8386354446,-0.0955678746,0.0176413525
-0.0840246080,-0.2228080128,4.4234193076,2.9646770954,0.0842199922,0.0244549718
-0.0867935865,-0.2238910425,4.4463609522,2.9980809689,0.1913409531,0.0320868418
-0.0840246080,-0.2228080128,4.4234193076,2.9646770954,0.0842199922,0.0244549718
-0.0867935865,-0.2238910425,4.4463609522,2.9980809689,0.1913409531,0.0320868418
-0.0840246080,-0.2228080128,4.4234193076,2.9646770954,0.0842199922,0.0244549718
-0.0881053297,-0.2197853045,4.4282118557,-2.7806231976,-0.0259240065,0.0411494970
-0.0876715303,-0.2213077736,4.4147098936,-2.8386354446,-0.0955678746,0.0176413525
-0.0873873323,-0.2239467946,4.5089953916,-2.8511347771,-0.1137952283,0.0374050289
-0.0844293904,-0.2153298785,4.3409314330,-2.7265372276,0.0297117494,0.0430326611
-0.0840246080,-0.2228080128,4.4234193076,2.9646770954,0.0842199922,0.0244549718
-0.0840246080,-0.2228080128,4.4234193076,2.9646770954,0.0842199922,0.0244549718
-0.0876715303,-0.2213077736,4.4147098936,-2.8386354446,-0.0955678746,0.0176413525
-0.0867935865,-0.2238910425,4.4463609522,2.9980809689,0.1913409531,0.0320868418
-0.0841453830,-0.2217893142,4.4423210464,2.8977155685,-0.0162664726,0.0415532812
-0.0840246080,-0.2228080128,4.4234193076,2.9646770954,0.0842199922,0.0244549718
-0.0841453830,-0.2217893142,4.4423210464,2.8977155685,-0.0162664726,0.0415532812
-0.0840246080,-0.2228080128,4.4234193076,2.9646770954,0.0842199922,0.0244549718
-0.0873873323,-0.2239467946,4.5089953916,-2.8511347771,-0.1137952283,0.0374050289
-0.0840246080,-0.2228080128,4.4234193076,2.9646770954,0.0842199922,0.0244549718
-0.0841453830,-0.2217893142,4.4423210464,2.8977155685,-0.0162664726,0.0415532812
-0.0867935865,-0.2238910425,4.4463609522,2.9980809689,0.1913409531,0.0320868418
-0.0840246080,-0.2228080128,4.4234193076,2.9646770954,0.0842199922,0.0244549718
