distance x [m],distance y [m],distance z [m],angle x [rad],angle y [rad],angle z [rad]
0.0228884963,0.0433248348,1.0498071155,-3.0837960243,-1.0679631233,-0.0760929435
0.0228884963,0.0433248348,1.0498071155,-3.0837960243,-1.0679631233,-0.0760929435
0.0228884963,0.0433248348,1.0498071155,-3.0837960243,-1.0679631233,-0.0760929435
0.0228884963,0.0433248348,1.0498071155,-3.0837960243,-1.0679631233,-0.0760929435
0.0228884963,0.0433248348,1.0498071155,-3.0837960243,-1.0679631233,-0.0760929435
0.0228884963,0.0433248348,1.0498071155,-3.0837960243,-1.0679631233,-0.0760929435
0.0228884963,0.0433248348,1.0498071155,-3.0837960243,-1.0679631233,-0.0760929435
0.0228884963,0.0433248348,1.0498071155,-3.0837960243,-1.0679631233,-0.0760929435
0.0228884963,0.0433248348,1.0498071155,-3.0837960243,-1.0679631233,-0.0760929435
0.0228884963,0.0433248348,1.0498071155,-3.0837960243,-1.0679631233,-0.0760929435
0.0228884963,0.0433248348,1.0498071155,-3.0837960243,-1.0679631233,-0.0760929435
0.0228884963,0.0433248348,1.0498071155,-3.0837960243,-1.0679631233,-0.0760929435
0.0228884963,0.0433248348,1.0498071155,-3.0837960243,-1.0679631233,-0.0760929435
0.0228884963,0.0433248348,1.0498071155,-3.0837960243,-1.0679631233,-0.0760929435
0.0228884963,0.0433248348,1.0498071155,-3.0837960243,-1.0679631233,-0.0760929435
0.0228884963,0.0433248348,1.0498071155,-3.0837960243,-1.0679631233,-0.0760929435
0.0228884963,0.0433248348,1.0498071155,-3.0837960243,-1.0679631233,-0.0760929435
0.0228884963,0.0433248348,1.0498071155,-3.0837960243,-1.0679631233,-0.0760929435
0.0228884963,0.0433248348,1.0498071155,-3.0837960243,-1.0679631233,-0.0760929435
0.0228884963,0.0433248348,1.0498071155,-3.0837960243,-1.0679631233,-0.0760929435
0.0228884963,0.0433248348,1.0498071155,-3.0837960243,-1.0679631233,-0.0760929435
0.0228884963,0.0433248348,1.0498071155,-3.0837960243,-1.0679631233,-0.0760929435
0.0228884963,0.0433248348,1.0498071155,-3.0837960243,-1.0679631233,-0.0760929435
0.0228884963,0.0433248348,1.0498071155,-3.0837960243,-1.0679631233,-0.0760929435
0.0228884963,0.0433248348,1.0498071155,-3.0837960243,-1.0679631233,-0.0760929435
0.0228884963,0.0433248348,1.0498071155,-3.0837960243,-1.0679631233,-0.0760929435
0.0228884963,0.0433248348,1.0498071155,-3.0837960243,-1.0679631233,-0.0760929435
0.0228884963,0.0433248348,1.0498071155,-3.0837960243,-1.0679631233,-0.0760929435
0.0228884963,0.0433248348,1.0498071155,-3.0837960243,-1.0679631233,-0.0760929435
0.0228884963,0.0433248348,1.0498071155,-3.0837960243,-1.0679631233,-0.0760929435
0.0228884963,0.0433248348,1.0498071155,-3.0837960243,-1.0679631233,-0.0760929435
0.0228884963,0.0433248348,1.0498071155,-3.0837960243,-1.0679631233,-0.0760929435
0.0228884963,0.0433248348,1.0498071155,-3.0837960243,-1.0679631233,-0.0760929435
0.0228884963,0.0433248348,1.0498071155,-3.0837960243,-1.0679631233,-0.0760929435
0.0228884963,0.0433248348,1.0498071155,-3.0837960243,-1.0679631233,-0.0760929435
0.0228884963,0.0433248348,1.0498071155,-3.0837960243,-1.0679631233,-0.0760929435
0.0228884963,0.0433248348,1.0498071155,-3.0837960243,-1.0679631233,-0.0760929435
0.0228884963,0.0433248348,1.0498071155,-3.0837960243,-1.0679631233,-0.0760929435
0.0228884963,0.0433248348,1.0498071155,-3.0837960243,-1.0679631233,-0.0760929435
0.0228884963,0.0433248348,1.0498071155,-3.0837960243,-1.0679631233,-0.0760929435
0.0228884963,0.0433248348,1.0498071155,-3.0837960243,-1.0679631233,-0.0760929435
0.0228884963,0.0433248348,1.0498071155,-3.0837960243,-1.0679631233,-0.0760929435
0.0228884963,0.0433248348,1.0498071155,-3.0837960243,-1.0679631233,-0.0760929435
0.0228884963,0.0433248348,1.0498071155,-3.0837960243,-1.0679631233,-0.0760929435
0.0228884963,0.0433248348,1.0498071155,-3.0837960243,-1.0679631233,-0.0760929435
0.0228884963,0.0433248348,1.0498071155,-3.0837960243,-1.0679631233,-0.0760929435
0.0231977928,0.0435392869,1.0643067331,-3.1103014946,-1.0613491535,-0.0528110489
0.0231977928,0.0435392869,1.0643067331,-3.1103014946,-1.0613491535,-0.0528110489
0.0228884963,0.0433248348,1.0498071155,-3.0837960243,-1.0679631233,-0.0760929435
0.0228884963,0.0433248348,1.0498071155,-3.0837960243,-1.0679631233,-0.0760929435
0.0228884963,0.0433248348,1.0498071155,-3.0837960243,-1.0679631233,-0.0760929435
0.0228884963,0.0433248348,1.0498071155,-3.0837960243,-1.0679631233,-0.0760929435
0.0228884963,0.0433248348,1.0498071155,-3.0837960243,-1.0679631233,-0.0760929435
0.0228884963,0.0433248348,1.0498071155,-3.0837960243,-1.0679631233,-0.0760929435
0.0228884963,0.0433248348,1.0498071155,-3.0837960243,-1.0679631233,-0.0760929435
0.0228884963,0.0433248348,1.0498071155,-3.0837960243,-1.0679631233,-0.0760929435
0.0228884963,0.0433248348,1.0498071155,-3.0837960243,-1.0679631233,-0.0760929435
0.0228884963,0.0433248348,1.0498071155,-3.0837960243,-1.0679631233,-0.0760929435
0.0228884963,0.0433248348,1.0498071155,-3.0837960243,-1.0679631233,-0.0760929435
0.0228884963,0.0433248348,1.0498071155,-3.0837960243,-1.0679631233,-0.0760929435
0.0228884963,0.0433248348,1.0498071155,-3.0837960243,-1.0679631233,-0.0760929435
0.0228884963,0.0433248348,1.0498071155,-3.0837960243,-1.0679631233,-0.0760929435
0.0228884963,0.0433248348,1.0498071155,-3.0837960243,-1.0679631233,-0.0760929435
0.0228884963,0.0433248348,1.0498071155,-3.0837960243,-1.0679631233,-0.0760929435
0.0228884963,0.0433248348,1.0498071155,-3.0837960243,-1.0679631233,-0.0760929435
0.0228884963,0.0433248348,1.0498071155,-3.0837960243,-1.0679631233,-0.0760929435
0.0228884963,0.0433248348,1.0498071155,-3.0837960243,-1.0679631233,-0.0760929435
0.0228884963,0.0433248348,1.0498071155,-3.0837960243,-1.0679631233,-0.0760929435
0.0228884963,0.0433248348,1.0498071155,-3.0837960243,-1.0679631233,-0.0760929435
0.0228884963,0.0433248348,1.0498071155,-3.0837960243,-1.0679631233,-0.0760929435
0.0228884963,0.0433248348,1.0498071155,-3.0837960243,-1.0679631233,-0.0760929435
0.0228884963,0.0433248348,1.0498071155,-3.0837960243,-1.0679631233,-0.0760929435
0.0228884963,0.0433248348,1.0498071155,-3.0837960243,-1.0679631233,-0.0760929435
0.0228884963,0.0433248348,1.0498071155,-3.0837960243,-1.0679631233,-0.0760929435
0.0228884963,0.0433248348,1.0498071155,-3.0837960243,-1.0679631233,-0.0760929435
0.0228884963,0.0433248348,1.0498071155,-3.0837960243,-1.0679631233,-0.0760929435
0.0228884963,0.0433248348,1.0498071155,-3.0837960243,-1.0679631233,-0.0760929435
0.0228884963,0.0433248348,1.0498071155,-3.0837960243,-1.0679631233,-0.0760929435
0.0228884963,0.0433248348,1.0498071155,-3.0837960243,-1.0679631233,-0.0760929435
0.0228884963,0.0433248348,1.0498071155,-3.0837960243,-1.0679631233,-0.0760929435
0.0228884963,0.0433248348,1.0498071155,-3.0837960243,-1.0679631233,-0.0760929435
0.0228884963,0.0433248348,1.0498071155,-3.0837960243,-1.0679631233,-0.0760929435
0.0228884963,0.0433248348,1.0498071155,-3.0837960243,-1.0679631233,-0.0760929435
0.0228884963,0.0433248348,1.0498071155,-3.0837960243,-1.0679631233,-0.0760929435
0.0228884963,0.0433248348,1.0498071155,-3.0837960243,-1.0679631233,-0.0760929435
0.0228884963,0.0433248348,1.0498071155,-3.0837960243,-1.0679631233,-0.0760929435
0.0228884963,0.0433248348,1.0498071155,-3.0837960243,-1.0679631233,-0.0760929435
0.0228884963,0.0433248348,1.0498071155,-3.0837960243,-1.0679631233,-0.0760929435
0.0228884963,0.0433248348,1.0498071155,-3.0837960243,-1.0679631233,-0.0760929435
0.0228884963,0.0433248348,1.0498071155,-3.0837960243,-1.0679631233,-0.0760929435
0.0228884963,0.0433248348,1.0498071155,-3.0837960243,-1.0679631233,-0.0760929435
0.0228884963,0.0433248348,1.0498071155,-3.0837960243,-1.0679631233,-0.0760929435
0.0228884963,0.0433248348,1.0498071155,-3.0837960243,-1.0679631233,-0.0760929435
0.0228884963,0.0433248348,1.0498071155,-3.0837960243,-1.0679631233,-0.0760929435
0.0228884963,0.0433248348,1.0498071155,-3.0837960243,-1.0679631233,-0.0760929435
0.0228884963,0.0433248348,1.0498071155,-3.0837960243,-1.0679631233,-0.0760929435
0.0228884963,0.0433248348,1.0498071155,-3.0837960243,-1.0679631233,-0.0760929435
0.0228884963,0.0433248348,1.0498071155,-3.0837960243,-1.0679631233,-0.0760929435
0.0228884963,0.0433248348,1.0498071155,-3.0837960243,-1.0679631233,-0.0760929435
0.0228884963,0.0433248348,1.0498071155,-3.0837960243,-1.0679631233,-0.0760929435
0.0228884963,0.0433248348,1.0498071155,-3.0837960243,-1.0679631233,-0.0760929435
0.0228884963,0.0433248348,1.0498071155,-3.0837960243,-1.0679631233,-0.0760929435
0.0228884963,0.0433248348,1.0498071155,-3.0837960243,-1.0679631233,-0.0760929435
0.0228884963,0.0433248348,1.0498071155,-3.0837960243,-1.0679631233,-0.0760929435
0.0228884963,0.0433248348,1.0498071155,-3.0837960243,-1.0679631233,-0.0760929435
0.0228884963,0.0433248348,1.0498071155,-3.0837960243,-1.0679631233,-0.0760929435
0.0228884963,0.0433248348,1.0498071155,-3.0837960243,-1.0679631233,-0.0760929435
0.0228884963,0.0433248348,1.0498071155,-3.0837960243,-1.0679631233,-0.0760929435
0.0228884963,0.0433248348,1.0498071155,-3.0837960243,-1.0679631233,-0.0760929435
0.0228884963,0.0433248348,1.0498071155,-3.0837960243,-1.0679631233,-0.0760929435
0.0228884963,0.0433248348,1.0498071155,-3.0837960243,-1.0679631233,-0.0760929435
0.0228884963,0.0433248348,1.0498071155,-3.0837960243,-1.0679631233,-0.0760929435
0.0228884963,0.0433248348,1.0498071155,-3.0837960243,-1.0679631233,-0.0760929435
0.0228884963,0.0433248348,1.0498071155,-3.0837960243,-1.0679631233,-0.0760929435
0.0228884963,0.0433248348,1.0498071155,-3.0837960243,-1.0679631233,-0.0760929435
0.0228884963,0.0433248348,1.0498071155,-3.0837960243,-1.0679631233,-0.0760929435
0.0228884963,0.0433248348,1.0498071155,-3.0837960243,-1.0679631233,-0.0760929435
0.0228884963,0.0433248348,1.0498071155,-3.0837960243,-1.0679631233,-0.0760929435
0.0228884963,0.0433248348,1.0498071155,-3.0837960243,-1.0679631233,-0.0760929435
0.0228884963,0.0433248348,1.0498071155,-3.0837960243,-1.0679631233,-0.0760929435
0.0228884963,0.0433248348,1.0498071155,-3.0837960243,-1.0679631233,-0.0760929435
0.0228884963,0.0433248348,1.0498071155,-3.0837960243,-1.0679631233,-0.0760929435
0.0228884963,0.0433248348,1.0498071155,-3.0837960243,-1.0679631233,-0.0760929435
0.0228884963,0.0433248348,1.0498071155,-3.0837960243,-1.0679631233,-0.0760929435
0.0228884963,0.0433248348,1.0498071155,-3.0837960243,-1.0679631233,-0.0760929435
0.0228884963,0.0433248348,1.0498071155,-3.0837960243,-1.0679631233,-0.0760929435
0.0228884963,0.0433248348,1.0498071155,-3.0837960243,-1.0679631233,-0.0760929435
0.0228884963,0.0433248348,1.0498071155,-3.0837960243,-1.0679631233,-0.0760929435
0.0231977928,0.0435392869,1.0643067331,-3.1103014946,-1.0613491535,-0.0528110489
0.0228884963,0.0433248348,1.0498071155,-3.0837960243,-1.0679631233,-0.0760929435
0.0228884963,0.0433248348,1.0498071155,-3.0837960243,-1.0679631233,-0.0760929435
0.0228884963,0.0433248348,1.0498071155,-3.0837960243,-1.0679631233,-0.0760929435
0.0228884963,0.0433248348,1.0498071155,-3.0837960243,-1.0679631233,-0.0760929435
0.0228884963,0.0433248348,1.0498071155,-3.0837960243,-1.0679631233,-0.0760929435
0.0228884963,0.0433248348,1.0498071155,-3.0837960243,-1.0679631233,-0.0760929435
0.0228884963,0.0433248348,1.0498071155,-3.0837960243,-1.0679631233,-0.0760929435
0.0228884963,0.0433248348,1.0498071155,-3.0837960243,-1.0679631233,-0.0760929435
0.0228884963,0.0433248348,1.0498071155,-3.0837960243,-1.0679631233,-0.0760929435
0.0228884963,0.0433248348,1.0498071155,-3.0837960243,-1.0679631233,-0.0760929435
0.0228884963,0.0433248348,1.0498071155,-3.0837960243,-1.0679631233,-0.0760929435
0.0228884963,0.0433248348,1.0498071155,-3.0837960243,-1.0679631233,-0.0760929435
0.0228884963,0.0433248348,1.0498071155,-3.0837960243,-1.0679631233,-0.0760929435
0.0228884963,0.0433248348,1.0498071155,-3.0837960243,-1.0679631233,-0.0760929435
0.0228884963,0.0433248348,1.0498071155,-3.0837960243,-1.0679631233,-0.0760929435
0.0231977928,0.0435392869,1.0643067331,-3.1103014946,-1.0613491535,-0.0528110489
0.0228884963,0.0433248348,1.0498071155,-3.0837960243,-1.0679631233,-0.0760929435
0.0228884963,0.0433248348,1.0498071155,-3.0837960243,-1.0679631233,-0.0760929435
0.0231977928,0.0435392869,1.0643067331,-3.1103014946,-1.0613491535,-0.0528110489
0.0228884963,0.0433248348,1.0498071155,-3.0837960243,-1.0679631233,-0.0760929435
