distance x [m],distance y [m],distance z [m],angle x [rad],angle y [rad],angle z [rad]
0.0235080470,0.0070516450,1.0422083995,3.1325125694,1.1387650967,-0.0140621336
0.0235080470,0.0070516450,1.0422083995,3.1325125694,1.1387650967,-0.0140621336
0.0235080470,0.0070516450,1.0422083995,3.1325125694,1.1387650967,-0.0140621336
0.0235080470,0.0070516450,1.0422083995,3.1325125694,1.1387650967,-0.0140621336
0.0235080470,0.0070516450,1.0422083995,3.1325125694,1.1387650967,-0.0140621336
0.0235080470,0.0070516450,1.0422083995,3.1325125694,1.1387650967,-0.0140621336
0.0231490992,0.0070625589,1.0421741082,3.1387550831,1.1451230049,-0.0147113325
0.0235080470,0.0070516450,1.0422083995,3.1325125694,1.1387650967,-0.0140621336
0.0235080470,0.0070516450,1.0422083995,3.1325125694,1.1387650967,-0.0140621336
0.0235080470,0.0070516450,1.0422083995,3.1325125694,1.1387650967,-0.0140621336
0.0235080470,0.0070516450,1.0422083995,3.1325125694,1.1387650967,-0.0140621336
0.0235080470,0.0070516450,1.0422083995,3.1325125694,1.1387650967,-0.0140621336
0.0235080470,0.0070516450,1.0422083995,3.1325125694,1.1387650967,-0.0140621336
0.0235080470,0.0070516450,1.0422083995,3.1325125694,1.1387650967,-0.0140621336
0.0235080470,0.0070516450,1.0422083995,3.1325125694,1.1387650967,-0.0140621336
0.0235080470,0.0070516450,1.0422083995,3.1325125694,1.1387650967,-0.0140621336
0.0235080470,0.0070516450,1.0422083995,3.1325125694,1.1387650967,-0.0140621336
0.0235080470,0.0070516450,1.0422083995,3.1325125694,1.1387650967,-0.0140621336
0.0235080470,0.0070516450,1.0422083995,3.1325125694,1.1387650967,-0.0140621336
0.0235080470,0.0070516450,1.0422083995,3.1325125694,1.1387650967,-0.0140621336
0.0235080470,0.0070516450,1.0422083995,3.1325125694,1.1387650967,-0.0140621336
0.0235080470,0.0070516450,1.0422083995,3.1325125694,1.1387650967,-0.0140621336
0.0231490992,0.0070625589,1.0421741082,3.1387550831,1.1451230049,-0.0147113325
0.0235080470,0.0070516450,1.0422083995,3.1325125694,1.1387650967,-0.0140621336
0.0235080470,0.0070516450,1.0422083995,3.1325125694,1.1387650967,-0.0140621336
0.0231490992,0.0070625589,1.0421741082,3.1387550831,1.1451230049,-0.0147113325
0.0235080470,0.0070516450,1.0422083995,3.1325125694,1.1387650967,-0.0140621336
0.0231490992,0.0070625589,1.0421741082,3.1387550831,1.1451230049,-0.0147113325
0.0235080470,0.0070516450,1.0422083995,3.1325125694,1.1387650967,-0.0140621336
0.0235080470,0.0070516450,1.0422083995,3.1325125694,1.1387650967,-0.0140621336
0.0235080470,0.0070516450,1.0422083995,3.1325125694,1.1387650967,-0.0140621336
0.0235080470,0.0070516450,1.0422083995,3.1325125694,1.1387650967,-0.0140621336
0.0235080470,0.0070516450,1.0422083995,3.1325125694,1.1387650967,-0.0140621336
0.0231490992,0.0070625589,1.0421741082,3.1387550831,1.1451230049,-0.0147113325
0.0235080470,0.0070516450,1.0422083995,3.1325125694,1.1387650967,-0.0140621336
0.0235080470,0.0070516450,1.0422083995,3.1325125694,1.1387650967,-0.0140621336
0.0235080470,0.0070516450,1.0422083995,3.1325125694,1.1387650967,-0.0140621336
0.0235080470,0.0070516450,1.0422083995,3.1325125694,1.1387650967,-0.0140621336
0.0235080470,0.0070516450,1.0422083995,3.1325125694,1.1387650967,-0.0140621336
0.0235080470,0.0070516450,1.0422083995,3.1325125694,1.1387650967,-0.0140621336
0.0235080470,0.0070516450,1.0422083995,3.1325125694,1.1387650967,-0.0140621336
0.0235080470,0.0070516450,1.0422083995,3.1325125694,1.1387650967,-0.0140621336
0.0235080470,0.0070516450,1.0422083995,3.1325125694,1.1387650967,-0.0140621336
0.0231490992,0.0070625589,1.0421741082,3.1387550831,1.1451230049,-0.0147113325
0.0235080470,0.0070516450,1.0422083995,3.1325125694,1.1387650967,-0.0140621336
0.0235080470,0.0070516450,1.0422083995,3.1325125694,1.1387650967,-0.0140621336
0.0235080470,0.0070516450,1.0422083995,3.1325125694,1.1387650967,-0.0140621336
0.0231490992,0.0070625589,1.0421741082,3.1387550831,1.1451230049,-0.0147113325
0.0235080470,0.0070516450,1.0422083995,3.1325125694,1.1387650967,-0.0140621336
0.0231490992,0.0070625589,1.0421741082,3.1387550831,1.1451230049,-0.0147113325
0.0235080470,0.0070516450,1.0422083995,3.1325125694,1.1387650967,-0.0140621336
0.0235080470,0.0070516450,1.0422083995,3.1325125694,1.1387650967,-0.0140621336
0.0235080470,0.0070516450,1.0422083995,3.1325125694,1.1387650967,-0.0140621336
0.0235080470,0.0070516450,1.0422083995,3.1325125694,1.1387650967,-0.0140621336
0.0235080470,0.0070516450,1.0422083995,3.1325125694,1.1387650967,-0.0140621336
0.0235080470,0.0070516450,1.0422083995,3.1325125694,1.1387650967,-0.0140621336
0.0235080470,0.0070516450,1.0422083995,3.1325125694,1.1387650967,-0.0140621336
0.0235080470,0.0070516450,1.0422083995,3.1325125694,1.1387650967,-0.0140621336
0.0235080470,0.0070516450,1.0422083995,3.1325125694,1.1387650967,-0.0140621336
0.0235080470,0.0070516450,1.0422083995,3.1325125694,1.1387650967,-0.0140621336
0.0235080470,0.0070516450,1.0422083995,3.1325125694,1.1387650967,-0.0140621336
0.0235080470,0.0070516450,1.0422083995,3.1325125694,1.1387650967,-0.0140621336
0.0235080470,0.0070516450,1.0422083995,3.1325125694,1.1387650967,-0.0140621336
0.0231490992,0.0070625589,1.0421741082,3.1387550831,1.1451230049,-0.0147113325
0.0235080470,0.0070516450,1.0422083995,3.1325125694,1.1387650967,-0.0140621336
0.0235080470,0.0070516450,1.0422083995,3.1325125694,1.1387650967,-0.0140621336
0.0231490992,0.0070625589,1.0421741082,3.1387550831,1.1451230049,-0.0147113325
0.0231490992,0.0070625589,1.0421741082,3.1387550831,1.1451230049,-0.0147113325
0.0235080470,0.0070516450,1.0422083995,3.1325125694,1.1387650967,-0.0140621336
0.0231490992,0.0070625589,1.0421741082,3.1387550831,1.1451230049,-0.0147113325
0.0235080470,0.0070516450,1.0422083995,3.1325125694,1.1387650967,-0.0140621336
0.0235080470,0.0070516450,1.0422083995,3.1325125694,1.1387650967,-0.0140621336
0.0235080470,0.0070516450,1.0422083995,3.1325125694,1.1387650967,-0.0140621336
0.0235080470,0.0070516450,1.0422083995,3.1325125694,1.1387650967,-0.0140621336
0.0235080470,0.0070516450,1.0422083995,3.1325125694,1.1387650967,-0.0140621336
0.0231490992,0.0070625589,1.0421741082,3.1387550831,1.1451230049,-0.0147113325
0.0235080470,0.0070516450,1.0422083995,3.1325125694,1.1387650967,-0.0140621336
0.0231490992,0.0070625589,1.0421741082,3.1387550831,1.1451230049,-0.0147113325
0.0235080470,0.0070516450,1.0422083995,3.1325125694,1.1387650967,-0.0140621336
0.0235080470,0.0070516450,1.0422083995,3.1325125694,1.1387650967,-0.0140621336
0.0235080470,0.0070516450,1.0422083995,3.1325125694,1.1387650967,-0.0140621336
0.0235080470,0.0070516450,1.0422083995,3.1325125694,1.1387650967,-0.0140621336
0.0235080470,0.0070516450,1.0422083995,3.1325125694,1.1387650967,-0.0140621336
0.0235080470,0.0070516450,1.0422083995,3.1325125694,1.1387650967,-0.0140621336
0.0235080470,0.0070516450,1.0422083995,3.1325125694,1.1387650967,-0.0140621336
0.0231490992,0.0070625589,1.0421741082,3.1387550831,1.1451230049,-0.0147113325
0.0231490992,0.0070625589,1.0421741082,3.1387550831,1.1451230049,-0.0147113325
0.0235080470,0.0070516450,1.0422083995,3.1325125694,1.1387650967,-0.0140621336
0.0235080470,0.0070516450,1.0422083995,3.1325125694,1.1387650967,-0.0140621336
0.0231490992,0.0070625589,1.0421741082,3.1387550831,1.1451230049,-0.0147113325
0.0235080470,0.0070516450,1.0422083995,3.1325125694,1.1387650967,-0.0140621336
0.0235080470,0.0070516450,1.0422083995,3.1325125694,1.1387650967,-0.0140621336
0.0235080470,0.0070516450,1.0422083995,3.1325125694,1.1387650967,-0.0140621336
0.0231490992,0.0070625589,1.0421741082,3.1387550831,1.1451230049,-0.0147113325
0.0235080470,0.0070516450,1.0422083995,3.1325125694,1.1387650967,-0.0140621336
0.0231490992,0.0070625589,1.0421741082,3.1387550831,1.1451230049,-0.0147113325
0.0235080470,0.0070516450,1.0422083995,3.1325125694,1.1387650967,-0.0140621336
0.0231490992,0.0070625589,1.0421741082,3.1387550831,1.1451230049,-0.0147113325
0.0231490992,0.0070625589,1.0421741082,3.1387550831,1.1451230049,-0.0147113325
0.0235080470,0.0070516450,1.0422083995,3.1325125694,1.1387650967,-0.0140621336
0.0235080470,0.0070516450,1.0422083995,3.1325125694,1.1387650967,-0.0140621336
0.0231490992,0.0070625589,1.0421741082,3.1387550831,1.1451230049,-0.0147113325
0.0231490992,0.0070625589,1.0421741082,3.1387550831,1.1451230049,-0.0147113325
0.0231490992,0.0070625589,1.0421741082,3.1387550831,1.1451230049,-0.0147113325
0.0235080470,0.0070516450,1.0422083995,3.1325125694,1.1387650967,-0.0140621336
0.0235080470,0.0070516450,1.0422083995,3.1325125694,1.1387650967,-0.0140621336
0.0235080470,0.0070516450,1.0422083995,3.1325125694,1.1387650967,-0.0140621336
0.0235080470,0.0070516450,1.0422083995,3.1325125694,1.1387650967,-0.0140621336
0.0235080470,0.0070516450,1.0422083995,3.1325125694,1.1387650967,-0.0140621336
0.0235080470,0.0070516450,1.0422083995,3.1325125694,1.1387650967,-0.0140621336
0.0235080470,0.0070516450,1.0422083995,3.1325125694,1.1387650967,-0.0140621336
0.0235080470,0.0070516450,1.0422083995,3.1325125694,1.1387650967,-0.0140621336
0.0235080470,0.0070516450,1.0422083995,3.1325125694,1.1387650967,-0.0140621336
0.0235080470,0.0070516450,1.0422083995,3.1325125694,1.1387650967,-0.0140621336
0.0235080470,0.0070516450,1.0422083995,3.1325125694,1.1387650967,-0.0140621336
0.0235080470,0.0070516450,1.0422083995,3.1325125694,1.1387650967,-0.0140621336
0.0235080470,0.0070516450,1.0422083995,3.1325125694,1.1387650967,-0.0140621336
0.0231490992,0.0070625589,1.0421741082,3.1387550831,1.1451230049,-0.0147113325
0.0235080470,0.0070516450,1.0422083995,3.1325125694,1.1387650967,-0.0140621336
0.0231490992,0.0070625589,1.0421741082,3.1387550831,1.1451230049,-0.0147113325
0.0235080470,0.0070516450,1.0422083995,3.1325125694,1.1387650967,-0.0140621336
0.0231490992,0.0070625589,1.0421741082,3.1387550831,1.1451230049,-0.0147113325
0.0235080470,0.0070516450,1.0422083995,3.1325125694,1.1387650967,-0.0140621336
0.0235080470,0.0070516450,1.0422083995,3.1325125694,1.1387650967,-0.0140621336
0.0235080470,0.0070516450,1.0422083995,3.1325125694,1.1387650967,-0.0140621336
