distance x [m],distance y [m],distance z [m],angle x [rad],angle y [rad],angle z [rad]
0.0077183652,0.0989232072,2.0808698770,2.9106352329,-0.0217212718,-0.0066563627
0.0056552172,0.0978458993,2.0604699467,3.0991008282,0.1870991588,-0.0083942125
0.0078762751,0.0998390386,2.0755374591,2.9481618404,-0.0561184734,0.0022073791
0.0056552172,0.0978458993,2.0604699467,3.0991008282,0.1870991588,-0.0083942125
0.0066153000,0.0986794915,2.0905479780,2.9737699032,0.0055672382,-0.0204112902
0.0077183652,0.0989232072,2.0808698770,2.9106352329,-0.0217212718,-0.0066563627
0.0056552172,0.0978458993,2.0604699467,3.0991008282,0.1870991588,-0.0083942125
0.0056552172,0.0978458993,2.0604699467,3.0991008282,0.1870991588,-0.0083942125
0.0056552172,0.0978458993,2.0604699467,3.0991008282,0.1870991588,-0.0083942125
0.0077183652,0.0989232072,2.0808698770,2.9106352329,-0.0217212718,-0.0066563627
0.0056552172,0.0978458993,2.0604699467,3.0991008282,0.1870991588,-0.0083942125
0.0077183652,0.0989232072,2.0808698770,2.9106352329,-0.0217212718,-0.0066563627
0.0056552172,0.0978458993,2.0604699467,3.0991008282,0.1870991588,-0.0083942125
0.0056552172,0.0978458993,2.0604699467,3.0991008282,0.1870991588,-0.0083942125
0.0056552172,0.0978458993,2.0604699467,3.0991008282,0.1870991588,-0.0083942125
0.0077183652,0.0989232072,2.0808698770,2.9106352329,-0.0217212718,-0.0066563627
0.0056552172,0.0978458993,2.0604699467,3.0991008282,0.1870991588,-0.0083942125
0.0077183652,0.0989232072,2.0808698770,2.9106352329,-0.0217212718,-0.0066563627
0.0077183652,0.0989232072,2.0808698770,2.9106352329,-0.0217212718,-0.0066563627
0.0056552172,0.0978458993,2.0604699467,3.0991008282,0.1870991588,-0.0083942125
0.0077183652,0.0989232072,2.0808698770,2.9106352329,-0.0217212718,-0.0066563627
0.0056552172,0.0978458993,2.0604699467,3.0991008282,0.1870991588,-0.0083942125
0.0066153000,0.0986794915,2.0905479780,2.9737699032,0.0055672382,-0.0204112902
0.0056552172,0.0978458993,2.0604699467,3.0991008282,0.1870991588,-0.0083942125
0.0056552172,0.0978458993,2.0604699467,3.0991008282,0.1870991588,-0.0083942125
0.0056552172,0.0978458993,2.0604699467,3.0991008282,0.1870991588,-0.0083942125
0.0056552172,0.0978458993,2.0604699467,3.0991008282,0.1870991588,-0.0083942125
0.0066153000,0.0986794915,2.0905479780,2.9737699032,0.0055672382,-0.0204112902
0.0056552172,0.0978458993,2.0604699467,3.0991008282,0.1870991588,-0.0083942125
0.0073006356,0.0978429427,2.0754323888,2.9493372440,0.0605782717,-0.0219676699
0.0056552172,0.0978458993,2.0604699467,3.0991008282,0.1870991588,-0.0083942125
0.0056552172,0.0978458993,2.0604699467,3.0991008282,0.1870991588,-0.0083942125
0.0066153000,0.0986794915,2.0905479780,2.9737699032,0.0055672382,-0.0204112902
0.0073006356,0.0978429427,2.0754323888,2.9493372440,0.0605782717,-0.0219676699
0.0073006356,0.0978429427,2.0754323888,2.9493372440,0.0605782717,-0.0219676699
0.0056552172,0.0978458993,2.0604699467,3.0991008282,0.1870991588,-0.0083942125
0.0073006356,0.0978429427,2.0754323888,2.9493372440,0.0605782717,-0.0219676699
0.0056552172,0.0978458993,2.0604699467,3.0991008282,0.1870991588,-0.0083942125
0.0077183652,0.0989232072,2.0808698770,2.9106352329,-0.0217212718,-0.0066563627
0.0073006356,0.0978429427,2.0754323888,2.9493372440,0.0605782717,-0.0219676699
0.0073006356,0.0978429427,2.0754323888,2.9493372440,0.0605782717,-0.0219676699
0.0077183652,0.0989232072,2.0808698770,2.9106352329,-0.0217212718,-0.0066563627
0.0073006356,0.0978429427,2.0754323888,2.9493372440,0.0605782717,-0.0219676699
0.0073006356,0.0978429427,2.0754323888,2.9493372440,0.0605782717,-0.0219676699
0.0070675403,0.0990582138,2.0707345341,3.0414028168,0.1067891344,-0.0176839065
0.0077183652,0.0989232072,2.0808698770,2.9106352329,-0.0217212718,-0.0066563627
0.0056552172,0.0978458993,2.0604699467,3.0991008282,0.1870991588,-0.0083942125
0.0077183652,0.0989232072,2.0808698770,2.9106352329,-0.0217212718,-0.0066563627
0.0056552172,0.0978458993,2.0604699467,3.0991008282,0.1870991588,-0.0083942125
0.0066153000,0.0986794915,2.0905479780,2.9737699032,0.0055672382,-0.0204112902
0.0056552172,0.0978458993,2.0604699467,3.0991008282,0.1870991588,-0.0083942125
0.0073006356,0.0978429427,2.0754323888,2.9493372440,0.0605782717,-0.0219676699
0.0056552172,0.0978458993,2.0604699467,3.0991008282,0.1870991588,-0.0083942125
0.0066153000,0.0986794915,2.0905479780,2.9737699032,0.0055672382,-0.0204112902
0.0056552172,0.0978458993,2.0604699467,3.0991008282,0.1870991588,-0.0083942125
0.0056552172,0.0978458993,2.0604699467,3.0991008282,0.1870991588,-0.0083942125
0.0081936461,0.0971930542,2.0548715262,3.0199806690,-0.1356274635,0.0068595591
0.0056552172,0.0978458993,2.0604699467,3.0991008282,0.1870991588,-0.0083942125
0.0066153000,0.0986794915,2.0905479780,2.9737699032,0.0055672382,-0.0204112902
0.0056552172,0.0978458993,2.0604699467,3.0991008282,0.1870991588,-0.0083942125
0.0056552172,0.0978458993,2.0604699467,3.0991008282,0.1870991588,-0.0083942125
0.0066153000,0.0986794915,2.0905479780,2.9737699032,0.0055672382,-0.0204112902
0.0066153000,0.0986794915,2.0905479780,2.9737699032,0.0055672382,-0.0204112902
0.0056552172,0.0978458993,2.0604699467,3.0991008282,0.1870991588,-0.0083942125
0.0057997885,0.0994675084,2.0738780239,3.0921614170,0.1664155573,-0.0231066681
