distance x [m],distance y [m],distance z [m],angle x [rad],angle y [rad],angle z [rad]
-0.0036605487,-0.0679234482,1.0385481301,3.0952782631,0.0543972179,0.0084211016
-0.0036540182,-0.0669662588,1.0279105740,-3.1179611683,0.1966681033,0.0048112003
-0.0039814999,-0.0677992702,1.0302815194,3.1148781776,0.1494489908,0.0068167374
-0.0039772498,-0.0679568915,1.0279907860,-3.1180458069,0.1489921957,0.0146203730
-0.0036540182,-0.0669662588,1.0279105740,-3.1179611683,0.1966681033,0.0048112003
-0.0036540182,-0.0669662588,1.0279105740,-3.1179611683,0.1966681033,0.0048112003
-0.0042457128,-0.0669691010,1.0291415518,-3.0978267193,0.2257842869,0.0043392694
-0.0036540182,-0.0669662588,1.0279105740,-3.1179611683,0.1966681033,0.0048112003
-0.0031381287,-0.0680899114,1.0344066278,3.1090977192,-0.0831956044,0.0105282236
-0.0031381287,-0.0680899114,1.0344066278,3.1090977192,-0.0831956044,0.0105282236
-0.0036359463,-0.0680296544,1.0272134398,3.1313591003,0.1918666363,0.0171861760
-0.0036359463,-0.0680296544,1.0272134398,3.1313591003,0.1918666363,0.0171861760
-0.0031381287,-0.0680899114,1.0344066278,3.1090977192,-0.0831956044,0.0105282236
-0.0042457128,-0.0669691010,1.0291415518,-3.0978267193,0.2257842869,0.0043392694
-0.0036540182,-0.0669662588,1.0279105740,-3.1179611683,0.1966681033,0.0048112003
-0.0031381287,-0.0680899114,1.0344066278,3.1090977192,-0.0831956044,0.0105282236
-0.0039403576,-0.0677137764,1.0350666831,3.0907995701,-0.0003292488,0.0038930299
-0.0036540182,-0.0669662588,1.0279105740,-3.1179611683,0.1966681033,0.0048112003
-0.0036540182,-0.0669662588,1.0279105740,-3.1179611683,0.1966681033,0.0048112003
-0.0036540182,-0.0669662588,1.0279105740,-3.1179611683,0.1966681033,0.0048112003
-0.0036540182,-0.0669662588,1.0279105740,-3.1179611683,0.1966681033,0.0048112003
-0.0036540182,-0.0669662588,1.0279105740,-3.1179611683,0.1966681033,0.0048112003
-0.0036540182,-0.0669662588,1.0279105740,-3.1179611683,0.1966681033,0.0048112003
-0.0031381287,-0.0680899114,1.0344066278,3.1090977192,-0.0831956044,0.0105282236
-0.0036540182,-0.0669662588,1.0279105740,-3.1179611683,0.1966681033,0.0048112003
-0.0031381287,-0.0680899114,1.0344066278,3.1090977192,-0.0831956044,0.0105282236
