distance x [m],distance y [m],distance z [m],angle x [rad],angle y [rad],angle z [rad]
-0.0035023837,0.0430981204,0.5542171509,2.9721345901,0.1603707820,-0.0204683766
-0.0031249525,0.0428916779,0.5535078451,3.0267579556,0.2315364629,-0.0188260823
-0.0031249525,0.0428916779,0.5535078451,3.0267579556,0.2315364629,-0.0188260823
-0.0031249525,0.0428916779,0.5535078451,3.0267579556,0.2315364629,-0.0188260823
-0.0031249525,0.0428916779,0.5535078451,3.0267579556,0.2315364629,-0.0188260823
-0.0031249525,0.0428916779,0.5535078451,3.0267579556,0.2315364629,-0.0188260823
-0.0031249525,0.0428916779,0.5535078451,3.0267579556,0.2315364629,-0.0188260823
-0.0026411820,0.0429903793,0.5538053459,3.0726599693,-0.2026503831,0.0147812674
-0.0026411820,0.0429903793,0.5538053459,3.0726599693,-0.2026503831,0.0147812674
-0.0033042623,0.0433866899,0.5565066041,3.0365796089,0.1804700196,-0.0208612867
-0.0031249525,0.0428916779,0.5535078451,3.0267579556,0.2315364629,-0.0188260823
-0.0033194056,0.0427004432,0.5520615616,2.9803392887,0.2060350925,-0.0174039230
-0.0031249525,0.0428916779,0.5535078451,3.0267579556,0.2315364629,-0.0188260823
-0.0031249525,0.0428916779,0.5535078451,3.0267579556,0.2315364629,-0.0188260823
-0.0026411820,0.0429903793,0.5538053459,3.0726599693,-0.2026503831,0.0147812674
-0.0031249525,0.0428916779,0.5535078451,3.0267579556,0.2315364629,-0.0188260823
-0.0031249525,0.0428916779,0.5535078451,3.0267579556,0.2315364629,-0.0188260823
-0.0035023837,0.0430981204,0.5542171509,2.9721345901,0.1603707820,-0.0204683766
-0.0026411820,0.0429903793,0.5538053459,3.0726599693,-0.2026503831,0.0147812674
-0.0031249525,0.0428916779,0.5535078451,3.0267579556,0.2315364629,-0.0188260823
-0.0026411820,0.0429903793,0.5538053459,3.0726599693,-0.2026503831,0.0147812674
-0.0031249525,0.0428916779,0.5535078451,3.0267579556,0.2315364629,-0.0188260823
-0.0031249525,0.0428916779,0.5535078451,3.0267579556,0.2315364629,-0.0188260823
-0.0031249525,0.0428916779,0.5535078451,3.0267579556,0.2315364629,-0.0188260823
-0.0026411820,0.0429903793,0.5538053459,3.0726599693,-0.2026503831,0.0147812674
-0.0035023837,0.0430981204,0.5542171509,2.9721345901,0.1603707820,-0.0204683766
-0.0031249525,0.0428916779,0.5535078451,3.0267579556,0.2315364629,-0.0188260823
