distance x [m],distance y [m],distance z [m],angle x [rad],angle y [rad],angle z [rad]
0.0960601117,-0.0339828197,4.8970811051,2.8818008900,0.1253149658,-0.0569143593
0.1012485666,-0.0349279194,5.0617172604,-3.1337833405,-0.0485675409,-0.0591637716
0.1012485666,-0.0349279194,5.0617172604,-3.1337833405,-0.0485675409,-0.0591637716
0.1012485666,-0.0349279194,5.0617172604,-3.1337833405,-0.0485675409,-0.0591637716
0.0960601117,-0.0339828197,4.8970811051,2.8818008900,0.1253149658,-0.0569143593
0.0960601117,-0.0339828197,4.8970811051,2.8818008900,0.1253149658,-0.0569143593
0.1012485666,-0.0349279194,5.0617172604,-3.1337833405,-0.0485675409,-0.0591637716
0.1012485666,-0.0349279194,5.0617172604,-3.1337833405,-0.0485675409,-0.0591637716
0.1012485666,-0.0349279194,5.0617172604,-3.1337833405,-0.0485675409,-0.0591637716
0.1012485666,-0.0349279194,5.0617172604,-3.1337833405,-0.0485675409,-0.0591637716
0.1012485666,-0.0349279194,5.0617172604,-3.1337833405,-0.0485675409,-0.0591637716
0.1012485666,-0.0349279194,5.0617172604,-3.1337833405,-0.0485675409,-0.0591637716
0.0960601117,-0.0339828197,4.8970811051,2.8818008900,0.1253149658,-0.0569143593
0.0960601117,-0.0339828197,4.8970811051,2.8818008900,0.1253149658,-0.0569143593
0.1012485666,-0.0349279194,5.0617172604,-3.1337833405,-0.0485675409,-0.0591637716
0.1012485666,-0.0349279194,5.0617172604,-3.1337833405,-0.0485675409,-0.0591637716
0.1012485666,-0.0349279194,5.0617172604,-3.1337833405,-0.0485675409,-0.0591637716
0.0960601117,-0.0339828197,4.8970811051,2.8818008900,0.1253149658,-0.0569143593
0.1012485666,-0.0349279194,5.0617172604,-3.1337833405,-0.0485675409,-0.0591637716
0.1012485666,-0.0349279194,5.0617172604,-3.1337833405,-0.0485675409,-0.0591637716
0.1012485666,-0.0349279194,5.0617172604,-3.1337833405,-0.0485675409,-0.0591637716
0.0960601117,-0.0339828197,4.8970811051,2.8818008900,0.1253149658,-0.0569143593
0.1012485666,-0.0349279194,5.0617172604,-3.1337833405,-0.0485675409,-0.0591637716
0.0960601117,-0.0339828197,4.8970811051,2.8818008900,0.1253149658,-0.0569143593
0.0999759493,-0.0355873304,4.9080142620,-3.0755388737,-0.0964928567,-0.0327700041
0.1012485666,-0.0349279194,5.0617172604,-3.1337833405,-0.0485675409,-0.0591637716
0.1012485666,-0.0349279194,5.0617172604,-3.1337833405,-0.0485675409,-0.0591637716
0.0960601117,-0.0339828197,4.8970811051,2.8818008900,0.1253149658,-0.0569143593
0.1012485666,-0.0349279194,5.0617172604,-3.1337833405,-0.0485675409,-0.0591637716
0.1012485666,-0.0349279194,5.0617172604,-3.1337833405,-0.0485675409,-0.0591637716
0.1012485666,-0.0349279194,5.0617172604,-3.1337833405,-0.0485675409,-0.0591637716
0.1012485666,-0.0349279194,5.0617172604,-3.1337833405,-0.0485675409,-0.0591637716
0.0960601117,-0.0339828197,4.8970811051,2.8818008900,0.1253149658,-0.0569143593
0.1012485666,-0.0349279194,5.0617172604,-3.1337833405,-0.0485675409,-0.0591637716
0.0999759493,-0.0355873304,4.9080142620,-3.0755388737,-0.0964928567,-0.0327700041
0.0960601117,-0.0339828197,4.8970811051,2.8818008900,0.1253149658,-0.0569143593
0.1012485666,-0.0349279194,5.0617172604,-3.1337833405,-0.0485675409,-0.0591637716
0.1012485666,-0.0349279194,5.0617172604,-3.1337833405,-0.0485675409,-0.0591637716
0.1012485666,-0.0349279194,5.0617172604,-3.1337833405,-0.0485675409,-0.0591637716
0.1012485666,-0.0349279194,5.0617172604,-3.1337833405,-0.0485675409,-0.0591637716
0.1012485666,-0.0349279194,5.0617172604,-3.1337833405,-0.0485675409,-0.0591637716
0.1012485666,-0.0349279194,5.0617172604,-3.1337833405,-0.0485675409,-0.0591637716
