distance x [m],distance y [m],distance z [m],angle x [rad],angle y [rad],angle z [rad]
-0.0595085739,-0.1029066725,3.3343844750,-3.0339944363,1.1471682787,0.1449810416
-0.0604876415,-0.1062532513,3.3904932543,-3.0758914948,1.1418918371,0.1070430055
-0.0583594098,-0.1027071426,3.4909246210,3.0655632019,-1.1440548897,0.1336880177
-0.0595085739,-0.1029066725,3.3343844750,-3.0339944363,1.1471682787,0.1449810416
-0.0613739218,-0.1094655732,3.4412555819,-3.0353450775,1.1333975792,0.1446633935
-0.0595085739,-0.1029066725,3.3343844750,-3.0339944363,1.1471682787,0.1449810416
-0.0583594098,-0.1027071426,3.4909246210,3.0655632019,-1.1440548897,0.1336880177
-0.0583594098,-0.1027071426,3.4909246210,3.0655632019,-1.1440548897,0.1336880177
-0.0583594098,-0.1027071426,3.4909246210,3.0655632019,-1.1440548897,0.1336880177
-0.0595085739,-0.1029066725,3.3343844750,-3.0339944363,1.1471682787,0.1449810416
-0.0589526914,-0.1062982427,3.3926139969,-3.0628857613,1.1248326302,0.1022159830
-0.0593482993,-0.1060727042,3.5484971233,3.1101803780,-1.1385673285,0.0943918377
-0.0595085739,-0.1029066725,3.3343844750,-3.0339944363,1.1471682787,0.1449810416
-0.0613739218,-0.1094655732,3.4412555819,-3.0353450775,1.1333975792,0.1446633935
-0.0595085739,-0.1029066725,3.3343844750,-3.0339944363,1.1471682787,0.1449810416
-0.0583594098,-0.1027071426,3.4909246210,3.0655632019,-1.1440548897,0.1336880177
-0.0583594098,-0.1027071426,3.4909246210,3.0655632019,-1.1440548897,0.1336880177
-0.0583594098,-0.1027071426,3.4909246210,3.0655632019,-1.1440548897,0.1336880177
-0.0595085739,-0.1029066725,3.3343844750,-3.0339944363,1.1471682787,0.1449810416
-0.0613739218,-0.1094655732,3.4412555819,-3.0353450775,1.1333975792,0.1446633935
-0.0595085739,-0.1029066725,3.3343844750,-3.0339944363,1.1471682787,0.1449810416
-0.0595085739,-0.1029066725,3.3343844750,-3.0339944363,1.1471682787,0.1449810416
-0.0583594098,-0.1027071426,3.4909246210,3.0655632019,-1.1440548897,0.1336880177
-0.0589526914,-0.1062982427,3.3926139969,-3.0628857613,1.1248326302,0.1022159830
-0.0576678251,-0.1061523993,3.5504424351,3.0944435596,-1.1193250418,0.0918718800
-0.0589526914,-0.1062982427,3.3926139969,-3.0628857613,1.1248326302,0.1022159830
-0.0613739218,-0.1094655732,3.4412555819,-3.0353450775,1.1333975792,0.1446633935
-0.0583594098,-0.1027071426,3.4909246210,3.0655632019,-1.1440548897,0.1336880177
-0.0583594098,-0.1027071426,3.4909246210,3.0655632019,-1.1440548897,0.1336880177
-0.0576500197,-0.1063803593,3.4490998940,-3.1186051369,-1.1535475254,0.0116360839
-0.0595085739,-0.1029066725,3.3343844750,-3.0339944363,1.1471682787,0.1449810416
-0.0595085739,-0.1029066725,3.3343844750,-3.0339944363,1.1471682787,0.1449810416
-0.0576678251,-0.1061523993,3.5504424351,3.0944435596,-1.1193250418,0.0918718800
-0.0595085739,-0.1029066725,3.3343844750,-3.0339944363,1.1471682787,0.1449810416
-0.0583594098,-0.1027071426,3.4909246210,3.0655632019,-1.1440548897,0.1336880177
-0.0583594098,-0.1027071426,3.4909246210,3.0655632019,-1.1440548897,0.1336880177
-0.0583594098,-0.1027071426,3.4909246210,3.0655632019,-1.1440548897,0.1336880177
-0.0576500197,-0.1063803593,3.4490998940,-3.1186051369,-1.1535475254,0.0116360839
-0.0595085739,-0.1029066725,3.3343844750,-3.0339944363,1.1471682787,0.1449810416
-0.0583594098,-0.1027071426,3.4909246210,3.0655632019,-1.1440548897,0.1336880177
-0.0623821358,-0.1096426470,3.4990012786,-2.9970583916,1.1229361296,0.1799497306
-0.0595085739,-0.1029066725,3.3343844750,-3.0339944363,1.1471682787,0.1449810416
-0.0589526914,-0.1062982427,3.3926139969,-3.0628857613,1.1248326302,0.1022159830
-0.0630633181,-0.1094943767,3.4427605762,-3.0231666565,1.1151686907,0.1391717345
-0.0583594098,-0.1027071426,3.4909246210,3.0655632019,-1.1440548897,0.1336880177
-0.0576678251,-0.1061523993,3.5504424351,3.0944435596,-1.1193250418,0.0918718800
-0.0593482993,-0.1060727042,3.5484971233,3.1101803780,-1.1385673285,0.0943918377
-0.0583594098,-0.1027071426,3.4909246210,3.0655632019,-1.1440548897,0.1336880177
-0.0613739218,-0.1094655732,3.4412555819,-3.0353450775,1.1333975792,0.1446633935
-0.0595085739,-0.1029066725,3.3343844750,-3.0339944363,1.1471682787,0.1449810416
-0.0583594098,-0.1027071426,3.4909246210,3.0655632019,-1.1440548897,0.1336880177
-0.0595085739,-0.1029066725,3.3343844750,-3.0339944363,1.1471682787,0.1449810416
-0.0583594098,-0.1027071426,3.4909246210,3.0655632019,-1.1440548897,0.1336880177
-0.0595085739,-0.1029066725,3.3343844750,-3.0339944363,1.1471682787,0.1449810416
-0.0613739218,-0.1094655732,3.4412555819,-3.0353450775,1.1333975792,0.1446633935
-0.0592889058,-0.1063086141,3.4473836094,-3.1006672382,-1.1719963551,0.0108649591
-0.0583594098,-0.1027071426,3.4909246210,3.0655632019,-1.1440548897,0.1336880177
-0.0576678251,-0.1061523993,3.5504424351,3.0944435596,-1.1193250418,0.0918718800
-0.0595085739,-0.1029066725,3.3343844750,-3.0339944363,1.1471682787,0.1449810416
-0.0583594098,-0.1027071426,3.4909246210,3.0655632019,-1.1440548897,0.1336880177
-0.0595085739,-0.1029066725,3.3343844750,-3.0339944363,1.1471682787,0.1449810416
-0.0583594098,-0.1027071426,3.4909246210,3.0655632019,-1.1440548897,0.1336880177
-0.0604876415,-0.1062532513,3.3904932543,-3.0758914948,1.1418918371,0.1070430055
-0.0589526914,-0.1062982427,3.3926139969,-3.0628857613,1.1248326302,0.1022159830
-0.0595085739,-0.1029066725,3.3343844750,-3.0339944363,1.1471682787,0.1449810416
-0.0613739218,-0.1094655732,3.4412555819,-3.0353450775,1.1333975792,0.1446633935
-0.0589526914,-0.1062982427,3.3926139969,-3.0628857613,1.1248326302,0.1022159830
-0.0595085739,-0.1029066725,3.3343844750,-3.0339944363,1.1471682787,0.1449810416
-0.0595085739,-0.1029066725,3.3343844750,-3.0339944363,1.1471682787,0.1449810416
-0.0604876415,-0.1062532513,3.3904932543,-3.0758914948,1.1418918371,0.1070430055
-0.0583594098,-0.1027071426,3.4909246210,3.0655632019,-1.1440548897,0.1336880177
-0.0583594098,-0.1027071426,3.4909246210,3.0655632019,-1.1440548897,0.1336880177
-0.0583594098,-0.1027071426,3.4909246210,3.0655632019,-1.1440548897,0.1336880177
-0.0595085739,-0.1029066725,3.3343844750,-3.0339944363,1.1471682787,0.1449810416
-0.0595085739,-0.1029066725,3.3343844750,-3.0339944363,1.1471682787,0.1449810416
-0.0583594098,-0.1027071426,3.4909246210,3.0655632019,-1.1440548897,0.1336880177
-0.0583594098,-0.1027071426,3.4909246210,3.0655632019,-1.1440548897,0.1336880177
-0.0583594098,-0.1027071426,3.4909246210,3.0655632019,-1.1440548897,0.1336880177
-0.0595085739,-0.1029066725,3.3343844750,-3.0339944363,1.1471682787,0.1449810416
-0.0583594098,-0.1027071426,3.4909246210,3.0655632019,-1.1440548897,0.1336880177
-0.0595085739,-0.1029066725,3.3343844750,-3.0339944363,1.1471682787,0.1449810416
-0.0589526914,-0.1062982427,3.3926139969,-3.0628857613,1.1248326302,0.1022159830
-0.0583594098,-0.1027071426,3.4909246210,3.0655632019,-1.1440548897,0.1336880177
