distance x [m],distance y [m],distance z [m],angle x [rad],angle y [rad],angle z [rad]
-0.0013763862,-0.1032133913,2.8166076088,2.9542307854,-0.0203680657,-0.0359181985
0.0001422145,-0.1040370477,2.8454775262,3.0221881866,-0.0967667773,-0.0399195179
0.0001422145,-0.1040370477,2.8454775262,3.0221881866,-0.0967667773,-0.0399195179
0.0001422145,-0.1040370477,2.8454775262,3.0221881866,-0.0967667773,-0.0399195179
-0.0013763862,-0.1032133913,2.8166076088,2.9542307854,-0.0203680657,-0.0359181985
-0.0013763862,-0.1032133913,2.8166076088,2.9542307854,-0.0203680657,-0.0359181985
0.0001422145,-0.1040370477,2.8454775262,3.0221881866,-0.0967667773,-0.0399195179
0.0001422145,-0.1040370477,2.8454775262,3.0221881866,-0.0967667773,-0.0399195179
0.0001422145,-0.1040370477,2.8454775262,3.0221881866,-0.0967667773,-0.0399195179
-0.0015909792,-0.1020537279,2.8147013273,2.9019510746,0.0385978781,-0.0478225462
-0.0013763862,-0.1032133913,2.8166076088,2.9542307854,-0.0203680657,-0.0359181985
0.0001422145,-0.1040370477,2.8454775262,3.0221881866,-0.0967667773,-0.0399195179
0.0001422145,-0.1040370477,2.8454775262,3.0221881866,-0.0967667773,-0.0399195179
-0.0015909792,-0.1020537279,2.8147013273,2.9019510746,0.0385978781,-0.0478225462
0.0001422145,-0.1040370477,2.8454775262,3.0221881866,-0.0967667773,-0.0399195179
0.0001422145,-0.1040370477,2.8454775262,3.0221881866,-0.0967667773,-0.0399195179
0.0001422145,-0.1040370477,2.8454775262,3.0221881866,-0.0967667773,-0.0399195179
0.0001422145,-0.1040370477,2.8454775262,3.0221881866,-0.0967667773,-0.0399195179
0.0001422145,-0.1040370477,2.8454775262,3.0221881866,-0.0967667773,-0.0399195179
0.0001422145,-0.1040370477,2.8454775262,3.0221881866,-0.0967667773,-0.0399195179
-0.0013763862,-0.1032133913,2.8166076088,2.9542307854,-0.0203680657,-0.0359181985
0.0001422145,-0.1040370477,2.8454775262,3.0221881866,-0.0967667773,-0.0399195179
0.0001422145,-0.1040370477,2.8454775262,3.0221881866,-0.0967667773,-0.0399195179
-0.0015909792,-0.1020537279,2.8147013273,2.9019510746,0.0385978781,-0.0478225462
0.0001422145,-0.1040370477,2.8454775262,3.0221881866,-0.0967667773,-0.0399195179
-0.0013763862,-0.1032133913,2.8166076088,2.9542307854,-0.0203680657,-0.0359181985
-0.0013763862,-0.1032133913,2.8166076088,2.9542307854,-0.0203680657,-0.0359181985
-0.0015909792,-0.1020537279,2.8147013273,2.9019510746,0.0385978781,-0.0478225462
0.0001422145,-0.1040370477,2.8454775262,3.0221881866,-0.0967667773,-0.0399195179
-0.0013763862,-0.1032133913,2.8166076088,2.9542307854,-0.0203680657,-0.0359181985
-0.0013763862,-0.1032133913,2.8166076088,2.9542307854,-0.0203680657,-0.0359181985
0.0001422145,-0.1040370477,2.8454775262,3.0221881866,-0.0967667773,-0.0399195179
0.0001422145,-0.1040370477,2.8454775262,3.0221881866,-0.0967667773,-0.0399195179
0.0004842635,-0.0980094659,2.8107013788,-2.9579982758,-0.1770798564,-0.0819893703
-0.0015909792,-0.1020537279,2.8147013273,2.9019510746,0.0385978781,-0.0478225462
0.0001422145,-0.1040370477,2.8454775262,3.0221881866,-0.0967667773,-0.0399195179
-0.0013763862,-0.1032133913,2.8166076088,2.9542307854,-0.0203680657,-0.0359181985
-0.0015909792,-0.1020537279,2.8147013273,2.9019510746,0.0385978781,-0.0478225462
-0.0013763862,-0.1032133913,2.8166076088,2.9542307854,-0.0203680657,-0.0359181985
-0.0013763862,-0.1032133913,2.8166076088,2.9542307854,-0.0203680657,-0.0359181985
0.0001422145,-0.1040370477,2.8454775262,3.0221881866,-0.0967667773,-0.0399195179
0.0001422145,-0.1040370477,2.8454775262,3.0221881866,-0.0967667773,-0.0399195179
0.0001422145,-0.1040370477,2.8454775262,3.0221881866,-0.0967667773,-0.0399195179
-0.0013763862,-0.1032133913,2.8166076088,2.9542307854,-0.0203680657,-0.0359181985
-0.0013763862,-0.1032133913,2.8166076088,2.9542307854,-0.0203680657,-0.0359181985
0.0001422145,-0.1040370477,2.8454775262,3.0221881866,-0.0967667773,-0.0399195179
0.0001422145,-0.1040370477,2.8454775262,3.0221881866,-0.0967667773,-0.0399195179
-0.0013763862,-0.1032133913,2.8166076088,2.9542307854,-0.0203680657,-0.0359181985
0.0001422145,-0.1040370477,2.8454775262,3.0221881866,-0.0967667773,-0.0399195179
0.0001422145,-0.1040370477,2.8454775262,3.0221881866,-0.0967667773,-0.0399195179
-0.0013763862,-0.1032133913,2.8166076088,2.9542307854,-0.0203680657,-0.0359181985
-0.0013763862,-0.1032133913,2.8166076088,2.9542307854,-0.0203680657,-0.0359181985
0.0001422145,-0.1040370477,2.8454775262,3.0221881866,-0.0967667773,-0.0399195179
-0.0013763862,-0.1032133913,2.8166076088,2.9542307854,-0.0203680657,-0.0359181985
-0.0013763862,-0.1032133913,2.8166076088,2.9542307854,-0.0203680657,-0.0359181985
0.0001422145,-0.1040370477,2.8454775262,3.0221881866,-0.0967667773,-0.0399195179
-0.0013763862,-0.1032133913,2.8166076088,2.9542307854,-0.0203680657,-0.0359181985
-0.0013763862,-0.1032133913,2.8166076088,2.9542307854,-0.0203680657,-0.0359181985
-0.0013763862,-0.1032133913,2.8166076088,2.9542307854,-0.0203680657,-0.0359181985
-0.0013763862,-0.1032133913,2.8166076088,2.9542307854,-0.0203680657,-0.0359181985
0.0001626331,-0.1004461033,2.8456535633,-2.9525935650,-0.0861626267,-0.0663912594
-0.0013763862,-0.1032133913,2.8166076088,2.9542307854,-0.0203680657,-0.0359181985
0.0001422145,-0.1040370477,2.8454775262,3.0221881866,-0.0967667773,-0.0399195179
0.0001422145,-0.1040370477,2.8454775262,3.0221881866,-0.0967667773,-0.0399195179
-0.0013763862,-0.1032133913,2.8166076088,2.9542307854,-0.0203680657,-0.0359181985
0.0001422145,-0.1040370477,2.8454775262,3.0221881866,-0.0967667773,-0.0399195179
-0.0013763862,-0.1032133913,2.8166076088,2.9542307854,-0.0203680657,-0.0359181985
0.0001422145,-0.1040370477,2.8454775262,3.0221881866,-0.0967667773,-0.0399195179
0.0001422145,-0.1040370477,2.8454775262,3.0221881866,-0.0967667773,-0.0399195179
0.0001422145,-0.1040370477,2.8454775262,3.0221881866,-0.0967667773,-0.0399195179
0.0001422145,-0.1040370477,2.8454775262,3.0221881866,-0.0967667773,-0.0399195179
-0.0013763862,-0.1032133913,2.8166076088,2.9542307854,-0.0203680657,-0.0359181985
-0.0013763862,-0.1032133913,2.8166076088,2.9542307854,-0.0203680657,-0.0359181985
-0.0013763862,-0.1032133913,2.8166076088,2.9542307854,-0.0203680657,-0.0359181985
-0.0015909792,-0.1020537279,2.8147013273,2.9019510746,0.0385978781,-0.0478225462
-0.0013763862,-0.1032133913,2.8166076088,2.9542307854,-0.0203680657,-0.0359181985
0.0001422145,-0.1040370477,2.8454775262,3.0221881866,-0.0967667773,-0.0399195179
0.0001422145,-0.1040370477,2.8454775262,3.0221881866,-0.0967667773,-0.0399195179
0.0001422145,-0.1040370477,2.8454775262,3.0221881866,-0.0967667773,-0.0399195179
-0.0013763862,-0.1032133913,2.8166076088,2.9542307854,-0.0203680657,-0.0359181985
0.0001422145,-0.1040370477,2.8454775262,3.0221881866,-0.0967667773,-0.0399195179
0.0001422145,-0.1040370477,2.8454775262,3.0221881866,-0.0967667773,-0.0399195179
0.0001422145,-0.1040370477,2.8454775262,3.0221881866,-0.0967667773,-0.0399195179
-0.0015909792,-0.1020537279,2.8147013273,2.9019510746,0.0385978781,-0.0478225462
-0.0013763862,-0.1032133913,2.8166076088,2.9542307854,-0.0203680657,-0.0359181985
-0.0013763862,-0.1032133913,2.8166076088,2.9542307854,-0.0203680657,-0.0359181985
0.0001422145,-0.1040370477,2.8454775262,3.0221881866,-0.0967667773,-0.0399195179
0.0001422145,-0.1040370477,2.8454775262,3.0221881866,-0.0967667773,-0.0399195179
-0.0013763862,-0.1032133913,2.8166076088,2.9542307854,-0.0203680657,-0.0359181985
-0.0013763862,-0.1032133913,2.8166076088,2.9542307854,-0.0203680657,-0.0359181985
0.0001626331,-0.1004461033,2.8456535633,-2.9525935650,-0.0861626267,-0.0663912594
0.0001422145,-0.1040370477,2.8454775262,3.0221881866,-0.0967667773,-0.0399195179
0.0001422145,-0.1040370477,2.8454775262,3.0221881866,-0.0967667773,-0.0399195179
0.0001422145,-0.1040370477,2.8454775262,3.0221881866,-0.0967667773,-0.0399195179
0.0001422145,-0.1040370477,2.8454775262,3.0221881866,-0.0967667773,-0.0399195179
-0.0013763862,-0.1032133913,2.8166076088,2.9542307854,-0.0203680657,-0.0359181985
0.0001422145,-0.1040370477,2.8454775262,3.0221881866,-0.0967667773,-0.0399195179
0.0001422145,-0.1040370477,2.8454775262,3.0221881866,-0.0967667773,-0.0399195179
