distance x [m],distance y [m],distance z [m],angle x [rad],angle y [rad],angle z [rad]
0.0052516114,-0.0305812945,1.1270258749,3.0738515854,0.1985751241,0.0041579390
0.0048344252,-0.0301759436,1.1277349081,2.9822061062,0.1025445610,-0.0145333195
0.0050072184,-0.0294313783,1.1078502432,-3.0364019871,-0.2061468661,-0.0218654368
0.0049473183,-0.0306101028,1.1309503192,-3.1155471802,-0.0153296813,-0.0004639197
0.0049473183,-0.0306101028,1.1309503192,-3.1155471802,-0.0153296813,-0.0004639197
0.0049473183,-0.0306101028,1.1309503192,-3.1155471802,-0.0153296813,-0.0004639197
0.0055533802,-0.0295792587,1.1113172652,-3.1004176140,-0.2582035065,-0.0251044724
0.0052516114,-0.0305812945,1.1270258749,3.0738515854,0.1985751241,0.0041579390
0.0049473183,-0.0306101028,1.1309503192,-3.1155471802,-0.0153296813,-0.0004639197
0.0049473183,-0.0306101028,1.1309503192,-3.1155471802,-0.0153296813,-0.0004639197
0.0049473183,-0.0306101028,1.1309503192,-3.1155471802,-0.0153296813,-0.0004639197
0.0052516114,-0.0305812945,1.1270258749,3.0738515854,0.1985751241,0.0041579390
0.0049473183,-0.0306101028,1.1309503192,-3.1155471802,-0.0153296813,-0.0004639197
0.0049473183,-0.0306101028,1.1309503192,-3.1155471802,-0.0153296813,-0.0004639197
0.0049473183,-0.0306101028,1.1309503192,-3.1155471802,-0.0153296813,-0.0004639197
0.0061380381,-0.0306211333,1.1314008429,-3.1142263412,-0.2474630177,-0.0068381280
0.0052516114,-0.0305812945,1.1270258749,3.0738515854,0.1985751241,0.0041579390
0.0049473183,-0.0306101028,1.1309503192,-3.1155471802,-0.0153296813,-0.0004639197
0.0049473183,-0.0306101028,1.1309503192,-3.1155471802,-0.0153296813,-0.0004639197
0.0048344252,-0.0301759436,1.1277349081,2.9822061062,0.1025445610,-0.0145333195
0.0052516114,-0.0305812945,1.1270258749,3.0738515854,0.1985751241,0.0041579390
0.0061380381,-0.0306211333,1.1314008429,-3.1142263412,-0.2474630177,-0.0068381280
0.0052516114,-0.0305812945,1.1270258749,3.0738515854,0.1985751241,0.0041579390
0.0052516114,-0.0305812945,1.1270258749,3.0738515854,0.1985751241,0.0041579390
0.0052507084,-0.0304204889,1.1269260988,-3.0177054405,0.1989644170,0.0067246188
0.0052516114,-0.0305812945,1.1270258749,3.0738515854,0.1985751241,0.0041579390
0.0048344252,-0.0301759436,1.1277349081,2.9822061062,0.1025445610,-0.0145333195
0.0052516114,-0.0305812945,1.1270258749,3.0738515854,0.1985751241,0.0041579390
0.0050072184,-0.0294313783,1.1078502432,-3.0364019871,-0.2061468661,-0.0218654368
0.0052516114,-0.0305812945,1.1270258749,3.0738515854,0.1985751241,0.0041579390
0.0049473183,-0.0306101028,1.1309503192,-3.1155471802,-0.0153296813,-0.0004639197
0.0052516114,-0.0305812945,1.1270258749,3.0738515854,0.1985751241,0.0041579390
0.0055533802,-0.0295792587,1.1113172652,-3.1004176140,-0.2582035065,-0.0251044724
0.0055533802,-0.0295792587,1.1113172652,-3.1004176140,-0.2582035065,-0.0251044724
0.0052516114,-0.0305812945,1.1270258749,3.0738515854,0.1985751241,0.0041579390
0.0050072184,-0.0294313783,1.1078502432,-3.0364019871,-0.2061468661,-0.0218654368
0.0052516114,-0.0305812945,1.1270258749,3.0738515854,0.1985751241,0.0041579390
0.0055533802,-0.0295792587,1.1113172652,-3.1004176140,-0.2582035065,-0.0251044724
0.0049473183,-0.0306101028,1.1309503192,-3.1155471802,-0.0153296813,-0.0004639197
0.0048344252,-0.0301759436,1.1277349081,2.9822061062,0.1025445610,-0.0145333195
0.0052516114,-0.0305812945,1.1270258749,3.0738515854,0.1985751241,0.0041579390
0.0061380381,-0.0306211333,1.1314008429,-3.1142263412,-0.2474630177,-0.0068381280
0.0049473183,-0.0306101028,1.1309503192,-3.1155471802,-0.0153296813,-0.0004639197
0.0049473183,-0.0306101028,1.1309503192,-3.1155471802,-0.0153296813,-0.0004639197
0.0055716482,-0.0294182880,1.1265945845,-3.0165140629,-0.1879425496,-0.0390578322
0.0052516114,-0.0305812945,1.1270258749,3.0738515854,0.1985751241,0.0041579390
0.0049473183,-0.0306101028,1.1309503192,-3.1155471802,-0.0153296813,-0.0004639197
0.0052516114,-0.0305812945,1.1270258749,3.0738515854,0.1985751241,0.0041579390
0.0052516114,-0.0305812945,1.1270258749,3.0738515854,0.1985751241,0.0041579390
0.0049473183,-0.0306101028,1.1309503192,-3.1155471802,-0.0153296813,-0.0004639197
0.0049473183,-0.0306101028,1.1309503192,-3.1155471802,-0.0153296813,-0.0004639197
0.0049473183,-0.0306101028,1.1309503192,-3.1155471802,-0.0153296813,-0.0004639197
0.0049473183,-0.0306101028,1.1309503192,-3.1155471802,-0.0153296813,-0.0004639197
0.0049473183,-0.0306101028,1.1309503192,-3.1155471802,-0.0153296813,-0.0004639197
0.0049473183,-0.0306101028,1.1309503192,-3.1155471802,-0.0153296813,-0.0004639197
0.0049473183,-0.0306101028,1.1309503192,-3.1155471802,-0.0153296813,-0.0004639197
0.0060809358,-0.0295247984,1.1104737008,-3.0611617565,-0.3145648837,-0.0253145788
0.0049473183,-0.0306101028,1.1309503192,-3.1155471802,-0.0153296813,-0.0004639197
0.0049473183,-0.0306101028,1.1309503192,-3.1155471802,-0.0153296813,-0.0004639197
0.0049473183,-0.0306101028,1.1309503192,-3.1155471802,-0.0153296813,-0.0004639197
0.0052516114,-0.0305812945,1.1270258749,3.0738515854,0.1985751241,0.0041579390
0.0049473183,-0.0306101028,1.1309503192,-3.1155471802,-0.0153296813,-0.0004639197
0.0061380381,-0.0306211333,1.1314008429,-3.1142263412,-0.2474630177,-0.0068381280
0.0049473183,-0.0306101028,1.1309503192,-3.1155471802,-0.0153296813,-0.0004639197
0.0055533802,-0.0295792587,1.1113172652,-3.1004176140,-0.2582035065,-0.0251044724
0.0057492372,-0.0305581686,1.1642957585,3.0708906651,-0.1936701834,-0.0038260987
0.0054160707,-0.0304031832,1.1446625412,-3.0311009884,0.1030516550,-0.0095905522
0.0054160707,-0.0304031832,1.1446625412,-3.0311009884,0.1030516550,-0.0095905522
0.0055716482,-0.0294182880,1.1265945845,-3.0165140629,-0.1879425496,-0.0390578322
0.0048344252,-0.0301759436,1.1277349081,2.9822061062,0.1025445610,-0.0145333195
0.0055716482,-0.0294182880,1.1265945845,-3.0165140629,-0.1879425496,-0.0390578322
0.0049473183,-0.0306101028,1.1309503192,-3.1155471802,-0.0153296813,-0.0004639197
0.0052507084,-0.0304204889,1.1269260988,-3.0177054405,0.1989644170,0.0067246188
0.0049473183,-0.0306101028,1.1309503192,-3.1155471802,-0.0153296813,-0.0004639197
0.0055533802,-0.0295792587,1.1113172652,-3.1004176140,-0.2582035065,-0.0251044724
0.0052516114,-0.0305812945,1.1270258749,3.0738515854,0.1985751241,0.0041579390
0.0054160707,-0.0304031832,1.1446625412,-3.0311009884,0.1030516550,-0.0095905522
0.0049473183,-0.0306101028,1.1309503192,-3.1155471802,-0.0153296813,-0.0004639197
0.0052516114,-0.0305812945,1.1270258749,3.0738515854,0.1985751241,0.0041579390
0.0055716482,-0.0294182880,1.1265945845,-3.0165140629,-0.1879425496,-0.0390578322
0.0055716482,-0.0294182880,1.1265945845,-3.0165140629,-0.1879425496,-0.0390578322
0.0055533802,-0.0295792587,1.1113172652,-3.1004176140,-0.2582035065,-0.0251044724
0.0049473183,-0.0306101028,1.1309503192,-3.1155471802,-0.0153296813,-0.0004639197
0.0055716482,-0.0294182880,1.1265945845,-3.0165140629,-0.1879425496,-0.0390578322
0.0048344252,-0.0301759436,1.1277349081,2.9822061062,0.1025445610,-0.0145333195
0.0049473183,-0.0306101028,1.1309503192,-3.1155471802,-0.0153296813,-0.0004639197
0.0052516114,-0.0305812945,1.1270258749,3.0738515854,0.1985751241,0.0041579390
0.0052516114,-0.0305812945,1.1270258749,3.0738515854,0.1985751241,0.0041579390
0.0055716482,-0.0294182880,1.1265945845,-3.0165140629,-0.1879425496,-0.0390578322
0.0052516114,-0.0305812945,1.1270258749,3.0738515854,0.1985751241,0.0041579390
0.0052516114,-0.0305812945,1.1270258749,3.0738515854,0.1985751241,0.0041579390
0.0049473183,-0.0306101028,1.1309503192,-3.1155471802,-0.0153296813,-0.0004639197
0.0049473183,-0.0306101028,1.1309503192,-3.1155471802,-0.0153296813,-0.0004639197
0.0052516114,-0.0305812945,1.1270258749,3.0738515854,0.1985751241,0.0041579390
0.0048344252,-0.0301759436,1.1277349081,2.9822061062,0.1025445610,-0.0145333195
0.0052516114,-0.0305812945,1.1270258749,3.0738515854,0.1985751241,0.0041579390
0.0052516114,-0.0305812945,1.1270258749,3.0738515854,0.1985751241,0.0041579390
0.0052507084,-0.0304204889,1.1269260988,-3.0177054405,0.1989644170,0.0067246188
0.0055533802,-0.0295792587,1.1113172652,-3.1004176140,-0.2582035065,-0.0251044724
0.0049473183,-0.0306101028,1.1309503192,-3.1155471802,-0.0153296813,-0.0004639197
0.0061380381,-0.0306211333,1.1314008429,-3.1142263412,-0.2474630177,-0.0068381280
0.0052516114,-0.0305812945,1.1270258749,3.0738515854,0.1985751241,0.0041579390
0.0049473183,-0.0306101028,1.1309503192,-3.1155471802,-0.0153296813,-0.0004639197
0.0052516114,-0.0305812945,1.1270258749,3.0738515854,0.1985751241,0.0041579390
0.0048344252,-0.0301759436,1.1277349081,2.9822061062,0.1025445610,-0.0145333195
