distance x [m],distance y [m],distance z [m],angle x [rad],angle y [rad],angle z [rad]
0.0334261246,-0.0886951534,5.3965147976,-3.1221628189,-0.5564730167,-0.0102922730
0.0334261246,-0.0886951534,5.3965147976,-3.1221628189,-0.5564730167,-0.0102922730
0.0334261246,-0.0886951534,5.3965147976,-3.1221628189,-0.5564730167,-0.0102922730
0.0334261246,-0.0886951534,5.3965147976,-3.1221628189,-0.5564730167,-0.0102922730
0.0334261246,-0.0886951534,5.3965147976,-3.1221628189,-0.5564730167,-0.0102922730
0.0334261246,-0.0886951534,5.3965147976,-3.1221628189,-0.5564730167,-0.0102922730
0.0334261246,-0.0886951534,5.3965147976,-3.1221628189,-0.5564730167,-0.0102922730
0.0334261246,-0.0886951534,5.3965147976,-3.1221628189,-0.5564730167,-0.0102922730
0.0334261246,-0.0886951534,5.3965147976,-3.1221628189,-0.5564730167,-0.0102922730
0.0334261246,-0.0886951534,5.3965147976,-3.1221628189,-0.5564730167,-0.0102922730
0.0334261246,-0.0886951534,5.3965147976,-3.1221628189,-0.5564730167,-0.0102922730
0.0334261246,-0.0886951534,5.3965147976,-3.1221628189,-0.5564730167,-0.0102922730
0.0334261246,-0.0886951534,5.3965147976,-3.1221628189,-0.5564730167,-0.0102922730
0.0334261246,-0.0886951534,5.3965147976,-3.1221628189,-0.5564730167,-0.0102922730
0.0334261246,-0.0886951534,5.3965147976,-3.1221628189,-0.5564730167,-0.0102922730
0.0334261246,-0.0886951534,5.3965147976,-3.1221628189,-0.5564730167,-0.0102922730
0.0334261246,-0.0886951534,5.3965147976,-3.1221628189,-0.5564730167,-0.0102922730
0.0334261246,-0.0886951534,5.3965147976,-3.1221628189,-0.5564730167,-0.0102922730
0.0334261246,-0.0886951534,5.3965147976,-3.1221628189,-0.5564730167,-0.0102922730
0.0334261246,-0.0886951534,5.3965147976,-3.1221628189,-0.5564730167,-0.0102922730
0.0334261246,-0.0886951534,5.3965147976,-3.1221628189,-0.5564730167,-0.0102922730
0.0334261246,-0.0886951534,5.3965147976,-3.1221628189,-0.5564730167,-0.0102922730
0.0334261246,-0.0886951534,5.3965147976,-3.1221628189,-0.5564730167,-0.0102922730
0.0334261246,-0.0886951534,5.3965147976,-3.1221628189,-0.5564730167,-0.0102922730
0.0334261246,-0.0886951534,5.3965147976,-3.1221628189,-0.5564730167,-0.0102922730
0.0334261246,-0.0886951534,5.3965147976,-3.1221628189,-0.5564730167,-0.0102922730
0.0334261246,-0.0886951534,5.3965147976,-3.1221628189,-0.5564730167,-0.0102922730
0.0334261246,-0.0886951534,5.3965147976,-3.1221628189,-0.5564730167,-0.0102922730
0.0334261246,-0.0886951534,5.3965147976,-3.1221628189,-0.5564730167,-0.0102922730
0.0334261246,-0.0886951534,5.3965147976,-3.1221628189,-0.5564730167,-0.0102922730
0.0334261246,-0.0886951534,5.3965147976,-3.1221628189,-0.5564730167,-0.0102922730
0.0334261246,-0.0886951534,5.3965147976,-3.1221628189,-0.5564730167,-0.0102922730
0.0334261246,-0.0886951534,5.3965147976,-3.1221628189,-0.5564730167,-0.0102922730
0.0334261246,-0.0886951534,5.3965147976,-3.1221628189,-0.5564730167,-0.0102922730
0.0334261246,-0.0886951534,5.3965147976,-3.1221628189,-0.5564730167,-0.0102922730
0.0334261246,-0.0886951534,5.3965147976,-3.1221628189,-0.5564730167,-0.0102922730
0.0334261246,-0.0886951534,5.3965147976,-3.1221628189,-0.5564730167,-0.0102922730
0.0334261246,-0.0886951534,5.3965147976,-3.1221628189,-0.5564730167,-0.0102922730
-0.1291196315,-0.3036942214,5.1062757249,2.5412719250,0.6511825919,0.4770796895
0.0334261246,-0.0886951534,5.3965147976,-3.1221628189,-0.5564730167,-0.0102922730
0.0334261246,-0.0886951534,5.3965147976,-3.1221628189,-0.5564730167,-0.0102922730
0.0334261246,-0.0886951534,5.3965147976,-3.1221628189,-0.5564730167,-0.0102922730
0.0334261246,-0.0886951534,5.3965147976,-3.1221628189,-0.5564730167,-0.0102922730
0.0334261246,-0.0886951534,5.3965147976,-3.1221628189,-0.5564730167,-0.0102922730
0.0334261246,-0.0886951534,5.3965147976,-3.1221628189,-0.5564730167,-0.0102922730
0.0334261246,-0.0886951534,5.3965147976,-3.1221628189,-0.5564730167,-0.0102922730
0.0334261246,-0.0886951534,5.3965147976,-3.1221628189,-0.5564730167,-0.0102922730
0.0334261246,-0.0886951534,5.3965147976,-3.1221628189,-0.5564730167,-0.0102922730
0.0334261246,-0.0886951534,5.3965147976,-3.1221628189,-0.5564730167,-0.0102922730
0.0334261246,-0.0886951534,5.3965147976,-3.1221628189,-0.5564730167,-0.0102922730
0.0334261246,-0.0886951534,5.3965147976,-3.1221628189,-0.5564730167,-0.0102922730
0.0334261246,-0.0886951534,5.3965147976,-3.1221628189,-0.5564730167,-0.0102922730
0.0334261246,-0.0886951534,5.3965147976,-3.1221628189,-0.5564730167,-0.0102922730
0.0334261246,-0.0886951534,5.3965147976,-3.1221628189,-0.5564730167,-0.0102922730
0.0334261246,-0.0886951534,5.3965147976,-3.1221628189,-0.5564730167,-0.0102922730
0.0334261246,-0.0886951534,5.3965147976,-3.1221628189,-0.5564730167,-0.0102922730
0.0334261246,-0.0886951534,5.3965147976,-3.1221628189,-0.5564730167,-0.0102922730
0.0334261246,-0.0886951534,5.3965147976,-3.1221628189,-0.5564730167,-0.0102922730
0.0334261246,-0.0886951534,5.3965147976,-3.1221628189,-0.5564730167,-0.0102922730
0.0334261246,-0.0886951534,5.3965147976,-3.1221628189,-0.5564730167,-0.0102922730
0.0334261246,-0.0886951534,5.3965147976,-3.1221628189,-0.5564730167,-0.0102922730
0.0334261246,-0.0886951534,5.3965147976,-3.1221628189,-0.5564730167,-0.0102922730
0.0334261246,-0.0886951534,5.3965147976,-3.1221628189,-0.5564730167,-0.0102922730
0.0334261246,-0.0886951534,5.3965147976,-3.1221628189,-0.5564730167,-0.0102922730
0.0334261246,-0.0886951534,5.3965147976,-3.1221628189,-0.5564730167,-0.0102922730
0.0334261246,-0.0886951534,5.3965147976,-3.1221628189,-0.5564730167,-0.0102922730
0.0334261246,-0.0886951534,5.3965147976,-3.1221628189,-0.5564730167,-0.0102922730
0.0334261246,-0.0886951534,5.3965147976,-3.1221628189,-0.5564730167,-0.0102922730
0.0334261246,-0.0886951534,5.3965147976,-3.1221628189,-0.5564730167,-0.0102922730
0.0334261246,-0.0886951534,5.3965147976,-3.1221628189,-0.5564730167,-0.0102922730
0.0334261246,-0.0886951534,5.3965147976,-3.1221628189,-0.5564730167,-0.0102922730
0.0334261246,-0.0886951534,5.3965147976,-3.1221628189,-0.5564730167,-0.0102922730
0.0334261246,-0.0886951534,5.3965147976,-3.1221628189,-0.5564730167,-0.0102922730
0.0334261246,-0.0886951534,5.3965147976,-3.1221628189,-0.5564730167,-0.0102922730
0.0334261246,-0.0886951534,5.3965147976,-3.1221628189,-0.5564730167,-0.0102922730
0.0334261246,-0.0886951534,5.3965147976,-3.1221628189,-0.5564730167,-0.0102922730
0.0334261246,-0.0886951534,5.3965147976,-3.1221628189,-0.5564730167,-0.0102922730
0.0334261246,-0.0886951534,5.3965147976,-3.1221628189,-0.5564730167,-0.0102922730
0.0334261246,-0.0886951534,5.3965147976,-3.1221628189,-0.5564730167,-0.0102922730
0.0334261246,-0.0886951534,5.3965147976,-3.1221628189,-0.5564730167,-0.0102922730
0.0334261246,-0.0886951534,5.3965147976,-3.1221628189,-0.5564730167,-0.0102922730
0.0334261246,-0.0886951534,5.3965147976,-3.1221628189,-0.5564730167,-0.0102922730
0.0334261246,-0.0886951534,5.3965147976,-3.1221628189,-0.5564730167,-0.0102922730
0.0334261246,-0.0886951534,5.3965147976,-3.1221628189,-0.5564730167,-0.0102922730
0.0334261246,-0.0886951534,5.3965147976,-3.1221628189,-0.5564730167,-0.0102922730
0.0334261246,-0.0886951534,5.3965147976,-3.1221628189,-0.5564730167,-0.0102922730
0.0334261246,-0.0886951534,5.3965147976,-3.1221628189,-0.5564730167,-0.0102922730
0.0334261246,-0.0886951534,5.3965147976,-3.1221628189,-0.5564730167,-0.0102922730
0.0334261246,-0.0886951534,5.3965147976,-3.1221628189,-0.5564730167,-0.0102922730
0.0334261246,-0.0886951534,5.3965147976,-3.1221628189,-0.5564730167,-0.0102922730
0.0334261246,-0.0886951534,5.3965147976,-3.1221628189,-0.5564730167,-0.0102922730
0.0334261246,-0.0886951534,5.3965147976,-3.1221628189,-0.5564730167,-0.0102922730
0.0334261246,-0.0886951534,5.3965147976,-3.1221628189,-0.5564730167,-0.0102922730
0.0334261246,-0.0886951534,5.3965147976,-3.1221628189,-0.5564730167,-0.0102922730
0.0334261246,-0.0886951534,5.3965147976,-3.1221628189,-0.5564730167,-0.0102922730
0.0334261246,-0.0886951534,5.3965147976,-3.1221628189,-0.5564730167,-0.0102922730
0.0334261246,-0.0886951534,5.3965147976,-3.1221628189,-0.5564730167,-0.0102922730
0.0334261246,-0.0886951534,5.3965147976,-3.1221628189,-0.5564730167,-0.0102922730
0.0334261246,-0.0886951534,5.3965147976,-3.1221628189,-0.5564730167,-0.0102922730
0.0334261246,-0.0886951534,5.3965147976,-3.1221628189,-0.5564730167,-0.0102922730
0.0334261246,-0.0886951534,5.3965147976,-3.1221628189,-0.5564730167,-0.0102922730
0.0334261246,-0.0886951534,5.3965147976,-3.1221628189,-0.5564730167,-0.0102922730
0.0334261246,-0.0886951534,5.3965147976,-3.1221628189,-0.5564730167,-0.0102922730
0.0334261246,-0.0886951534,5.3965147976,-3.1221628189,-0.5564730167,-0.0102922730
