distance x [m],distance y [m],distance z [m],angle x [rad],angle y [rad],angle z [rad]
0.0073006356,0.0978429427,2.0754323888,2.9493372440,0.0605782717,-0.0219676699
0.0070675403,0.0990582138,2.0707345341,3.0414028168,0.1067891344,-0.0176839065
0.0056552172,0.0978458993,2.0604699467,3.0991008282,0.1870991588,-0.0083942125
0.0073006356,0.0978429427,2.0754323888,2.9493372440,0.0605782717,-0.0219676699
0.0060923526,0.0962233358,2.0488587820,2.8726353645,0.0873763338,-0.0235582069
0.0073006356,0.0978429427,2.0754323888,2.9493372440,0.0605782717,-0.0219676699
0.0073006356,0.0978429427,2.0754323888,2.9493372440,0.0605782717,-0.0219676699
0.0073006356,0.0978429427,2.0754323888,2.9493372440,0.0605782717,-0.0219676699
0.0073006356,0.0978429427,2.0754323888,2.9493372440,0.0605782717,-0.0219676699
0.0056552172,0.0978458993,2.0604699467,3.0991008282,0.1870991588,-0.0083942125
0.0048711428,0.0972135634,2.0551378112,3.0216915607,0.1411089748,-0.0068214526
0.0070675403,0.0990582138,2.0707345341,3.0414028168,0.1067891344,-0.0176839065
0.0070675403,0.0990582138,2.0707345341,3.0414028168,0.1067891344,-0.0176839065
0.0073006356,0.0978429427,2.0754323888,2.9493372440,0.0605782717,-0.0219676699
0.0056552172,0.0978458993,2.0604699467,3.0991008282,0.1870991588,-0.0083942125
0.0073006356,0.0978429427,2.0754323888,2.9493372440,0.0605782717,-0.0219676699
0.0081936461,0.0971930542,2.0548715262,3.0199806690,-0.1356274635,0.0068595591
0.0073006356,0.0978429427,2.0754323888,2.9493372440,0.0605782717,-0.0219676699
0.0073006356,0.0978429427,2.0754323888,2.9493372440,0.0605782717,-0.0219676699
0.0056552172,0.0978458993,2.0604699467,3.0991008282,0.1870991588,-0.0083942125
0.0073006356,0.0978429427,2.0754323888,2.9493372440,0.0605782717,-0.0219676699
0.0056552172,0.0978458993,2.0604699467,3.0991008282,0.1870991588,-0.0083942125
0.0056552172,0.0978458993,2.0604699467,3.0991008282,0.1870991588,-0.0083942125
