distance x [m],distance y [m],distance z [m],angle x [rad],angle y [rad],angle z [rad]
0.0063739141,-0.0461710259,0.5046622638,-3.0509433746,1.1323560476,0.1053113490
0.0066401054,-0.0461691728,0.5047951767,-3.0448288918,1.1369745731,0.1074683815
0.0066401054,-0.0461691728,0.5047951767,-3.0448288918,1.1369745731,0.1074683815
0.0063739141,-0.0461710259,0.5046622638,-3.0509433746,1.1323560476,0.1053113490
0.0066401054,-0.0461691728,0.5047951767,-3.0448288918,1.1369745731,0.1074683815
0.0066401054,-0.0461691728,0.5047951767,-3.0448288918,1.1369745731,0.1074683815
0.0065984636,-0.0457223216,0.5026717165,-3.0343718529,1.1387083530,0.1168511733
0.0065984636,-0.0457223216,0.5026717165,-3.0343718529,1.1387083530,0.1168511733
0.0066401054,-0.0461691728,0.5047951767,-3.0448288918,1.1369745731,0.1074683815
0.0065984636,-0.0457223216,0.5026717165,-3.0343718529,1.1387083530,0.1168511733
0.0063739141,-0.0461710259,0.5046622638,-3.0509433746,1.1323560476,0.1053113490
0.0066401054,-0.0461691728,0.5047951767,-3.0448288918,1.1369745731,0.1074683815
0.0066401054,-0.0461691728,0.5047951767,-3.0448288918,1.1369745731,0.1074683815
0.0066401054,-0.0461691728,0.5047951767,-3.0448288918,1.1369745731,0.1074683815
0.0063739141,-0.0461710259,0.5046622638,-3.0509433746,1.1323560476,0.1053113490
0.0066401054,-0.0461691728,0.5047951767,-3.0448288918,1.1369745731,0.1074683815
0.0066401054,-0.0461691728,0.5047951767,-3.0448288918,1.1369745731,0.1074683815
0.0063739141,-0.0461710259,0.5046622638,-3.0509433746,1.1323560476,0.1053113490
0.0066401054,-0.0461691728,0.5047951767,-3.0448288918,1.1369745731,0.1074683815
0.0066401054,-0.0461691728,0.5047951767,-3.0448288918,1.1369745731,0.1074683815
0.0066401054,-0.0461691728,0.5047951767,-3.0448288918,1.1369745731,0.1074683815
0.0066401054,-0.0461691728,0.5047951767,-3.0448288918,1.1369745731,0.1074683815
0.0066401054,-0.0461691728,0.5047951767,-3.0448288918,1.1369745731,0.1074683815
0.0066401054,-0.0461691728,0.5047951767,-3.0448288918,1.1369745731,0.1074683815
0.0066401054,-0.0461691728,0.5047951767,-3.0448288918,1.1369745731,0.1074683815
0.0066401054,-0.0461691728,0.5047951767,-3.0448288918,1.1369745731,0.1074683815
0.0066401054,-0.0461691728,0.5047951767,-3.0448288918,1.1369745731,0.1074683815
0.0066401054,-0.0461691728,0.5047951767,-3.0448288918,1.1369745731,0.1074683815
0.0066401054,-0.0461691728,0.5047951767,-3.0448288918,1.1369745731,0.1074683815
0.0066401054,-0.0461691728,0.5047951767,-3.0448288918,1.1369745731,0.1074683815
0.0066401054,-0.0461691728,0.5047951767,-3.0448288918,1.1369745731,0.1074683815
0.0066401054,-0.0461691728,0.5047951767,-3.0448288918,1.1369745731,0.1074683815
0.0066401054,-0.0461691728,0.5047951767,-3.0448288918,1.1369745731,0.1074683815
0.0066401054,-0.0461691728,0.5047951767,-3.0448288918,1.1369745731,0.1074683815
0.0066401054,-0.0461691728,0.5047951767,-3.0448288918,1.1369745731,0.1074683815
0.0063739141,-0.0461710259,0.5046622638,-3.0509433746,1.1323560476,0.1053113490
0.0063332501,-0.0457246492,0.5025456228,-3.0405449867,1.1341193914,0.1146017686
0.0066401054,-0.0461691728,0.5047951767,-3.0448288918,1.1369745731,0.1074683815
0.0063739141,-0.0461710259,0.5046622638,-3.0509433746,1.1323560476,0.1053113490
0.0066401054,-0.0461691728,0.5047951767,-3.0448288918,1.1369745731,0.1074683815
0.0063739141,-0.0461710259,0.5046622638,-3.0509433746,1.1323560476,0.1053113490
0.0066401054,-0.0461691728,0.5047951767,-3.0448288918,1.1369745731,0.1074683815
0.0066401054,-0.0461691728,0.5047951767,-3.0448288918,1.1369745731,0.1074683815
0.0066401054,-0.0461691728,0.5047951767,-3.0448288918,1.1369745731,0.1074683815
0.0066401054,-0.0461691728,0.5047951767,-3.0448288918,1.1369745731,0.1074683815
0.0066401054,-0.0461691728,0.5047951767,-3.0448288918,1.1369745731,0.1074683815
0.0066401054,-0.0461691728,0.5047951767,-3.0448288918,1.1369745731,0.1074683815
0.0063739141,-0.0461710259,0.5046622638,-3.0509433746,1.1323560476,0.1053113490
0.0066401054,-0.0461691728,0.5047951767,-3.0448288918,1.1369745731,0.1074683815
0.0066401054,-0.0461691728,0.5047951767,-3.0448288918,1.1369745731,0.1074683815
0.0066401054,-0.0461691728,0.5047951767,-3.0448288918,1.1369745731,0.1074683815
0.0066401054,-0.0461691728,0.5047951767,-3.0448288918,1.1369745731,0.1074683815
0.0066401054,-0.0461691728,0.5047951767,-3.0448288918,1.1369745731,0.1074683815
0.0066401054,-0.0461691728,0.5047951767,-3.0448288918,1.1369745731,0.1074683815
0.0063739141,-0.0461710259,0.5046622638,-3.0509433746,1.1323560476,0.1053113490
