distance x [m],distance y [m],distance z [m],angle x [rad],angle y [rad],angle z [rad]
-0.0026177498,0.0367259571,0.5247483488,2.9379935265,1.0671942234,-0.1792783439
-0.0020728783,0.0361778794,0.5132096877,2.9644231796,1.0985416174,-0.1736479849
-0.0025939074,0.0361675611,0.5167158822,2.9738209248,1.0781790018,-0.1484923959
-0.0020794361,0.0366696204,0.5166887916,2.9453141689,1.0938297510,-0.1905148178
-0.0026080949,0.0362288528,0.5211922556,2.9569187164,1.0720853806,-0.1629713029
-0.0026080949,0.0362288528,0.5211922556,2.9569187164,1.0720853806,-0.1629713029
-0.0026035979,0.0366631041,0.5202543436,2.9549033642,1.0734685659,-0.1648795158
-0.0023359404,0.0366592450,0.5166458928,2.9397721291,1.0845247507,-0.1869877130
-0.0026177498,0.0367259571,0.5247483488,2.9379935265,1.0671942234,-0.1792783439
-0.0026177498,0.0367259571,0.5247483488,2.9379935265,1.0671942234,-0.1792783439
-0.0020794361,0.0366696204,0.5166887916,2.9453141689,1.0938297510,-0.1905148178
-0.0026177498,0.0367259571,0.5247483488,2.9379935265,1.0671942234,-0.1792783439
-0.0025939074,0.0361675611,0.5167158822,2.9738209248,1.0781790018,-0.1484923959
-0.0026080949,0.0362288528,0.5211922556,2.9569187164,1.0720853806,-0.1629713029
-0.0020794361,0.0366696204,0.5166887916,2.9453141689,1.0938297510,-0.1905148178
-0.0026177498,0.0367259571,0.5247483488,2.9379935265,1.0671942234,-0.1792783439
-0.0025939074,0.0361675611,0.5167158822,2.9738209248,1.0781790018,-0.1484923959
-0.0020794361,0.0366696204,0.5166887916,2.9453141689,1.0938297510,-0.1905148178
-0.0026080949,0.0362288528,0.5211922556,2.9569187164,1.0720853806,-0.1629713029
-0.0025964476,0.0362149514,0.5174937119,2.9359743595,1.0738420486,-0.1817039698
-0.0026080949,0.0362288528,0.5211922556,2.9569187164,1.0720853806,-0.1629713029
-0.0025939074,0.0361675611,0.5167158822,2.9738209248,1.0781790018,-0.1484923959
-0.0020830080,0.0362386474,0.5176171339,2.9474029541,1.0925507545,-0.1885406822
-0.0025919739,0.0366459156,0.5165662733,2.9339864254,1.0751961470,-0.1836013049
-0.0026080949,0.0362288528,0.5211922556,2.9569187164,1.0720853806,-0.1629713029
-0.0026080949,0.0362288528,0.5211922556,2.9569187164,1.0720853806,-0.1629713029
-0.0025939074,0.0361675611,0.5167158822,2.9738209248,1.0781790018,-0.1484923959
-0.0026080949,0.0362288528,0.5211922556,2.9569187164,1.0720853806,-0.1629713029
-0.0026177498,0.0367259571,0.5247483488,2.9379935265,1.0671942234,-0.1792783439
-0.0023359404,0.0366592450,0.5166458928,2.9397721291,1.0845247507,-0.1869877130
-0.0025939074,0.0361675611,0.5167158822,2.9738209248,1.0781790018,-0.1484923959
-0.0026035979,0.0366631041,0.5202543436,2.9549033642,1.0734685659,-0.1648795158
-0.0020794361,0.0366696204,0.5166887916,2.9453141689,1.0938297510,-0.1905148178
-0.0026080949,0.0362288528,0.5211922556,2.9569187164,1.0720853806,-0.1629713029
-0.0025964476,0.0362149514,0.5174937119,2.9359743595,1.0738420486,-0.1817039698
-0.0026177498,0.0367259571,0.5247483488,2.9379935265,1.0671942234,-0.1792783439
-0.0026177498,0.0367259571,0.5247483488,2.9379935265,1.0671942234,-0.1792783439
-0.0020794361,0.0366696204,0.5166887916,2.9453141689,1.0938297510,-0.1905148178
-0.0026080949,0.0362288528,0.5211922556,2.9569187164,1.0720853806,-0.1629713029
-0.0026080949,0.0362288528,0.5211922556,2.9569187164,1.0720853806,-0.1629713029
-0.0026057148,0.0367047027,0.5209467921,2.9171652794,1.0688920021,-0.1979045570
-0.0025939074,0.0361675611,0.5167158822,2.9738209248,1.0781790018,-0.1484923959
-0.0020794361,0.0366696204,0.5166887916,2.9453141689,1.0938297510,-0.1905148178
-0.0026177498,0.0367259571,0.5247483488,2.9379935265,1.0671942234,-0.1792783439
-0.0026057148,0.0367047027,0.5209467921,2.9171652794,1.0688920021,-0.1979045570
-0.0026080949,0.0362288528,0.5211922556,2.9569187164,1.0720853806,-0.1629713029
-0.0025919739,0.0366459156,0.5165662733,2.9339864254,1.0751961470,-0.1836013049
-0.0025939074,0.0361675611,0.5167158822,2.9738209248,1.0781790018,-0.1484923959
-0.0026080949,0.0362288528,0.5211922556,2.9569187164,1.0720853806,-0.1629713029
-0.0026080949,0.0362288528,0.5211922556,2.9569187164,1.0720853806,-0.1629713029
-0.0025919739,0.0366459156,0.5165662733,2.9339864254,1.0751961470,-0.1836013049
-0.0025826623,0.0361575389,0.5131280675,2.9527983665,1.0799685717,-0.1673127562
-0.0026177498,0.0367259571,0.5247483488,2.9379935265,1.0671942234,-0.1792783439
-0.0026177498,0.0367259571,0.5247483488,2.9379935265,1.0671942234,-0.1792783439
-0.0025939074,0.0361675611,0.5167158822,2.9738209248,1.0781790018,-0.1484923959
-0.0023359404,0.0366592450,0.5166458928,2.9397721291,1.0845247507,-0.1869877130
-0.0023359404,0.0366592450,0.5166458928,2.9397721291,1.0845247507,-0.1869877130
-0.0026177498,0.0367259571,0.5247483488,2.9379935265,1.0671942234,-0.1792783439
-0.0026080949,0.0362288528,0.5211922556,2.9569187164,1.0720853806,-0.1629713029
-0.0020830080,0.0362386474,0.5176171339,2.9474029541,1.0925507545,-0.1885406822
-0.0020794361,0.0366696204,0.5166887916,2.9453141689,1.0938297510,-0.1905148178
