distance x [m],distance y [m],distance z [m],angle x [rad],angle y [rad],angle z [rad]
0.0480596120,-0.1214176528,2.0663469336,2.9314861298,0.1368019879,-0.0242889486
0.0479943160,-0.1236209319,2.1073236046,3.0480391979,0.1472403109,0.0068371212
0.0489184240,-0.1194371612,2.0745538056,-3.0817680359,-0.2324905396,-0.0471425876
0.0478403622,-0.1197812930,2.1003675802,-3.0156843662,0.1393333226,0.0278545935
0.0471973898,-0.1209074329,2.0781378655,3.0453608036,0.2182620913,-0.0029996072
0.0489184240,-0.1194371612,2.0745538056,-3.0817680359,-0.2324905396,-0.0471425876
0.0466715702,-0.1200051381,2.1009414797,-3.1188211441,0.2403595448,0.0344290249
0.0479943160,-0.1236209319,2.1073236046,3.0480391979,0.1472403109,0.0068371212
0.0479943160,-0.1236209319,2.1073236046,3.0480391979,0.1472403109,0.0068371212
0.0478593021,-0.1220781340,2.1007829289,3.1262366772,0.1356972158,-0.0133906845
0.0479943160,-0.1236209319,2.1073236046,3.0480391979,0.1472403109,0.0068371212
0.0479943160,-0.1236209319,2.1073236046,3.0480391979,0.1472403109,0.0068371212
0.0489184240,-0.1194371612,2.0745538056,-3.0817680359,-0.2324905396,-0.0471425876
0.0493917321,-0.1216504496,2.0976419145,-3.0070955753,-0.1927088648,-0.0615369119
0.0479943160,-0.1236209319,2.1073236046,3.0480391979,0.1472403109,0.0068371212
0.0489184240,-0.1194371612,2.0745538056,-3.0817680359,-0.2324905396,-0.0471425876
0.0489184240,-0.1194371612,2.0745538056,-3.0817680359,-0.2324905396,-0.0471425876
0.0480596120,-0.1214176528,2.0663469336,2.9314861298,0.1368019879,-0.0242889486
0.0489184240,-0.1194371612,2.0745538056,-3.0817680359,-0.2324905396,-0.0471425876
0.0478593021,-0.1220781340,2.1007829289,3.1262366772,0.1356972158,-0.0133906845
0.0502817668,-0.1227368782,2.1027992742,-2.8839457035,-0.0545482673,-0.0367778465
0.0479943160,-0.1236209319,2.1073236046,3.0480391979,0.1472403109,0.0068371212
0.0480596120,-0.1214176528,2.0663469336,2.9314861298,0.1368019879,-0.0242889486
0.0478593021,-0.1220781340,2.1007829289,3.1262366772,0.1356972158,-0.0133906845
0.0479943160,-0.1236209319,2.1073236046,3.0480391979,0.1472403109,0.0068371212
0.0478593021,-0.1220781340,2.1007829289,3.1262366772,0.1356972158,-0.0133906845
0.0502817668,-0.1227368782,2.1027992742,-2.8839457035,-0.0545482673,-0.0367778465
0.0489184240,-0.1194371612,2.0745538056,-3.0817680359,-0.2324905396,-0.0471425876
0.0502817668,-0.1227368782,2.1027992742,-2.8839457035,-0.0545482673,-0.0367778465
0.0502817668,-0.1227368782,2.1027992742,-2.8839457035,-0.0545482673,-0.0367778465
0.0502817668,-0.1227368782,2.1027992742,-2.8839457035,-0.0545482673,-0.0367778465
0.0478403622,-0.1197812930,2.1003675802,-3.0156843662,0.1393333226,0.0278545935
0.0489184240,-0.1194371612,2.0745538056,-3.0817680359,-0.2324905396,-0.0471425876
0.0460442964,-0.1164275957,2.0399512495,-3.0759770870,0.3899473250,0.0071785860
0.0471973898,-0.1209074329,2.0781378655,3.0453608036,0.2182620913,-0.0029996072
0.0471973898,-0.1209074329,2.0781378655,3.0453608036,0.2182620913,-0.0029996072
0.0501530875,-0.1254596692,2.1427510984,-3.1017460823,-0.0300255809,-0.0352901183
0.0478403622,-0.1197812930,2.1003675802,-3.0156843662,0.1393333226,0.0278545935
0.0489184240,-0.1194371612,2.0745538056,-3.0817680359,-0.2324905396,-0.0471425876
0.0471973898,-0.1209074329,2.0781378655,3.0453608036,0.2182620913,-0.0029996072
0.0489184240,-0.1194371612,2.0745538056,-3.0817680359,-0.2324905396,-0.0471425876
0.0479943160,-0.1236209319,2.1073236046,3.0480391979,0.1472403109,0.0068371212
0.0489184240,-0.1194371612,2.0745538056,-3.0817680359,-0.2324905396,-0.0471425876
0.0501530875,-0.1254596692,2.1427510984,-3.1017460823,-0.0300255809,-0.0352901183
0.0489184240,-0.1194371612,2.0745538056,-3.0817680359,-0.2324905396,-0.0471425876
0.0478593021,-0.1220781340,2.1007829289,3.1262366772,0.1356972158,-0.0133906845
0.0489184240,-0.1194371612,2.0745538056,-3.0817680359,-0.2324905396,-0.0471425876
0.0479448397,-0.1234033976,2.1021612617,2.9960327148,0.1034092903,-0.0276038330
0.0501530875,-0.1254596692,2.1427510984,-3.1017460823,-0.0300255809,-0.0352901183
0.0486108839,-0.1202146272,2.0808155183,2.9607846737,0.0206535365,0.0008414113
0.0489184240,-0.1194371612,2.0745538056,-3.0817680359,-0.2324905396,-0.0471425876
0.0479943160,-0.1236209319,2.1073236046,3.0480391979,0.1472403109,0.0068371212
0.0478593021,-0.1220781340,2.1007829289,3.1262366772,0.1356972158,-0.0133906845
0.0479943160,-0.1236209319,2.1073236046,3.0480391979,0.1472403109,0.0068371212
0.0479943160,-0.1236209319,2.1073236046,3.0480391979,0.1472403109,0.0068371212
0.0489184240,-0.1194371612,2.0745538056,-3.0817680359,-0.2324905396,-0.0471425876
0.0471973898,-0.1209074329,2.0781378655,3.0453608036,0.2182620913,-0.0029996072
0.0502817668,-0.1227368782,2.1027992742,-2.8839457035,-0.0545482673,-0.0367778465
0.0502817668,-0.1227368782,2.1027992742,-2.8839457035,-0.0545482673,-0.0367778465
0.0489184240,-0.1194371612,2.0745538056,-3.0817680359,-0.2324905396,-0.0471425876
0.0471973898,-0.1209074329,2.0781378655,3.0453608036,0.2182620913,-0.0029996072
0.0502817668,-0.1227368782,2.1027992742,-2.8839457035,-0.0545482673,-0.0367778465
0.0479943160,-0.1236209319,2.1073236046,3.0480391979,0.1472403109,0.0068371212
0.0471973898,-0.1209074329,2.0781378655,3.0453608036,0.2182620913,-0.0029996072
0.0478403622,-0.1197812930,2.1003675802,-3.0156843662,0.1393333226,0.0278545935
0.0489184240,-0.1194371612,2.0745538056,-3.0817680359,-0.2324905396,-0.0471425876
0.0479943160,-0.1236209319,2.1073236046,3.0480391979,0.1472403109,0.0068371212
0.0489184240,-0.1194371612,2.0745538056,-3.0817680359,-0.2324905396,-0.0471425876
0.0489184240,-0.1194371612,2.0745538056,-3.0817680359,-0.2324905396,-0.0471425876
0.0489184240,-0.1194371612,2.0745538056,-3.0817680359,-0.2324905396,-0.0471425876
0.0479943160,-0.1236209319,2.1073236046,3.0480391979,0.1472403109,0.0068371212
0.0501530875,-0.1254596692,2.1427510984,-3.1017460823,-0.0300255809,-0.0352901183
0.0489184240,-0.1194371612,2.0745538056,-3.0817680359,-0.2324905396,-0.0471425876
0.0471973898,-0.1209074329,2.0781378655,3.0453608036,0.2182620913,-0.0029996072
0.0479943160,-0.1236209319,2.1073236046,3.0480391979,0.1472403109,0.0068371212
0.0478403622,-0.1197812930,2.1003675802,-3.0156843662,0.1393333226,0.0278545935
0.0478593021,-0.1220781340,2.1007829289,3.1262366772,0.1356972158,-0.0133906845
0.0479943160,-0.1236209319,2.1073236046,3.0480391979,0.1472403109,0.0068371212
0.0479943160,-0.1236209319,2.1073236046,3.0480391979,0.1472403109,0.0068371212
0.0486108839,-0.1202146272,2.0808155183,2.9607846737,0.0206535365,0.0008414113
0.0478403622,-0.1197812930,2.1003675802,-3.0156843662,0.1393333226,0.0278545935
0.0479943160,-0.1236209319,2.1073236046,3.0480391979,0.1472403109,0.0068371212
0.0493917321,-0.1216504496,2.0976419145,-3.0070955753,-0.1927088648,-0.0615369119
0.0479943160,-0.1236209319,2.1073236046,3.0480391979,0.1472403109,0.0068371212
0.0478403622,-0.1197812930,2.1003675802,-3.0156843662,0.1393333226,0.0278545935
0.0479943160,-0.1236209319,2.1073236046,3.0480391979,0.1472403109,0.0068371212
0.0489184240,-0.1194371612,2.0745538056,-3.0817680359,-0.2324905396,-0.0471425876
0.0502817668,-0.1227368782,2.1027992742,-2.8839457035,-0.0545482673,-0.0367778465
0.0502817668,-0.1227368782,2.1027992742,-2.8839457035,-0.0545482673,-0.0367778465
0.0478593021,-0.1220781340,2.1007829289,3.1262366772,0.1356972158,-0.0133906845
0.0489184240,-0.1194371612,2.0745538056,-3.0817680359,-0.2324905396,-0.0471425876
0.0489184240,-0.1194371612,2.0745538056,-3.0817680359,-0.2324905396,-0.0471425876
0.0479943160,-0.1236209319,2.1073236046,3.0480391979,0.1472403109,0.0068371212
0.0486108839,-0.1202146272,2.0808155183,2.9607846737,0.0206535365,0.0008414113
0.0489184240,-0.1194371612,2.0745538056,-3.0817680359,-0.2324905396,-0.0471425876
0.0478403622,-0.1197812930,2.1003675802,-3.0156843662,0.1393333226,0.0278545935
0.0478403622,-0.1197812930,2.1003675802,-3.0156843662,0.1393333226,0.0278545935
0.0502817668,-0.1227368782,2.1027992742,-2.8839457035,-0.0545482673,-0.0367778465
