distance x [m],distance y [m],distance z [m],angle x [rad],angle y [rad],angle z [rad]
-0.0683817430,-0.1062143403,3.4390592441,3.1328475475,-0.0204772707,0.0319357254
-0.0695774227,-0.1027006102,3.3813621162,-3.0923066139,0.2346144170,0.0582078658
-0.0683817430,-0.1062143403,3.4390592441,3.1328475475,-0.0204772707,0.0319357254
-0.0676332027,-0.1021848647,3.3710485336,-3.0280840397,0.1813474596,0.0541439913
-0.0676332027,-0.1021848647,3.3710485336,-3.0280840397,0.1813474596,0.0541439913
-0.0659426841,-0.1027189833,3.4254792442,3.0618505478,-0.2045080066,0.0613052957
-0.0683817430,-0.1062143403,3.4390592441,3.1328475475,-0.0204772707,0.0319357254
-0.0659426841,-0.1027189833,3.4254792442,3.0618505478,-0.2045080066,0.0613052957
-0.0683817430,-0.1062143403,3.4390592441,3.1328475475,-0.0204772707,0.0319357254
-0.0668107263,-0.1017560201,3.3857725600,2.9865949154,-0.1883862168,0.0586253181
-0.0683817430,-0.1062143403,3.4390592441,3.1328475475,-0.0204772707,0.0319357254
-0.0668107263,-0.1017560201,3.3857725600,2.9865949154,-0.1883862168,0.0586253181
-0.0676332027,-0.1021848647,3.3710485336,-3.0280840397,0.1813474596,0.0541439913
-0.0663921355,-0.1028065056,3.3824418960,-3.1196985245,0.2342169136,0.0545064025
-0.0676332027,-0.1021848647,3.3710485336,-3.0280840397,0.1813474596,0.0541439913
-0.0683817430,-0.1062143403,3.4390592441,3.1328475475,-0.0204772707,0.0319357254
-0.0683817430,-0.1062143403,3.4390592441,3.1328475475,-0.0204772707,0.0319357254
-0.0676332027,-0.1021848647,3.3710485336,-3.0280840397,0.1813474596,0.0541439913
-0.0659426841,-0.1027189833,3.4254792442,3.0618505478,-0.2045080066,0.0613052957
-0.0683817430,-0.1062143403,3.4390592441,3.1328475475,-0.0204772707,0.0319357254
-0.0676332027,-0.1021848647,3.3710485336,-3.0280840397,0.1813474596,0.0541439913
-0.0676332027,-0.1021848647,3.3710485336,-3.0280840397,0.1813474596,0.0541439913
-0.0683817430,-0.1062143403,3.4390592441,3.1328475475,-0.0204772707,0.0319357254
-0.0683817430,-0.1062143403,3.4390592441,3.1328475475,-0.0204772707,0.0319357254
-0.0676332027,-0.1021848647,3.3710485336,-3.0280840397,0.1813474596,0.0541439913
-0.0663921355,-0.1028065056,3.3824418960,-3.1196985245,0.2342169136,0.0545064025
-0.0676332027,-0.1021848647,3.3710485336,-3.0280840397,0.1813474596,0.0541439913
-0.0659426841,-0.1027189833,3.4254792442,3.0618505478,-0.2045080066,0.0613052957
-0.0676332027,-0.1021848647,3.3710485336,-3.0280840397,0.1813474596,0.0541439913
-0.0683817430,-0.1062143403,3.4390592441,3.1328475475,-0.0204772707,0.0319357254
-0.0676332027,-0.1021848647,3.3710485336,-3.0280840397,0.1813474596,0.0541439913
-0.0676332027,-0.1021848647,3.3710485336,-3.0280840397,0.1813474596,0.0541439913
-0.0678456399,-0.1046535784,3.4267088382,2.9749307632,-0.1138002351,0.0466323309
-0.0683817430,-0.1062143403,3.4390592441,3.1328475475,-0.0204772707,0.0319357254
-0.0683817430,-0.1062143403,3.4390592441,3.1328475475,-0.0204772707,0.0319357254
-0.0695774227,-0.1027006102,3.3813621162,-3.0923066139,0.2346144170,0.0582078658
-0.0668107263,-0.1017560201,3.3857725600,2.9865949154,-0.1883862168,0.0586253181
-0.0683817430,-0.1062143403,3.4390592441,3.1328475475,-0.0204772707,0.0319357254
-0.0668107263,-0.1017560201,3.3857725600,2.9865949154,-0.1883862168,0.0586253181
-0.0659426841,-0.1027189833,3.4254792442,3.0618505478,-0.2045080066,0.0613052957
-0.0676332027,-0.1021848647,3.3710485336,-3.0280840397,0.1813474596,0.0541439913
-0.0683817430,-0.1062143403,3.4390592441,3.1328475475,-0.0204772707,0.0319357254
-0.0668107263,-0.1017560201,3.3857725600,2.9865949154,-0.1883862168,0.0586253181
-0.0668107263,-0.1017560201,3.3857725600,2.9865949154,-0.1883862168,0.0586253181
-0.0659426841,-0.1027189833,3.4254792442,3.0618505478,-0.2045080066,0.0613052957
-0.0676332027,-0.1021848647,3.3710485336,-3.0280840397,0.1813474596,0.0541439913
-0.0683817430,-0.1062143403,3.4390592441,3.1328475475,-0.0204772707,0.0319357254
-0.0676332027,-0.1021848647,3.3710485336,-3.0280840397,0.1813474596,0.0541439913
-0.0668107263,-0.1017560201,3.3857725600,2.9865949154,-0.1883862168,0.0586253181
-0.0668107263,-0.1017560201,3.3857725600,2.9865949154,-0.1883862168,0.0586253181
-0.0659426841,-0.1027189833,3.4254792442,3.0618505478,-0.2045080066,0.0613052957
-0.0676332027,-0.1021848647,3.3710485336,-3.0280840397,0.1813474596,0.0541439913
-0.0684463760,-0.1068236300,3.4276519244,-2.9175159931,0.0715439469,0.0520740263
-0.0659426841,-0.1027189833,3.4254792442,3.0618505478,-0.2045080066,0.0613052957
-0.0668107263,-0.1017560201,3.3857725600,2.9865949154,-0.1883862168,0.0586253181
-0.0659426841,-0.1027189833,3.4254792442,3.0618505478,-0.2045080066,0.0613052957
-0.0659426841,-0.1027189833,3.4254792442,3.0618505478,-0.2045080066,0.0613052957
-0.0676332027,-0.1021848647,3.3710485336,-3.0280840397,0.1813474596,0.0541439913
-0.0683817430,-0.1062143403,3.4390592441,3.1328475475,-0.0204772707,0.0319357254
-0.0676332027,-0.1021848647,3.3710485336,-3.0280840397,0.1813474596,0.0541439913
-0.0668107263,-0.1017560201,3.3857725600,2.9865949154,-0.1883862168,0.0586253181
-0.0676332027,-0.1021848647,3.3710485336,-3.0280840397,0.1813474596,0.0541439913
-0.0676332027,-0.1021848647,3.3710485336,-3.0280840397,0.1813474596,0.0541439913
-0.0668107263,-0.1017560201,3.3857725600,2.9865949154,-0.1883862168,0.0586253181
-0.0695774227,-0.1027006102,3.3813621162,-3.0923066139,0.2346144170,0.0582078658
-0.0676332027,-0.1021848647,3.3710485336,-3.0280840397,0.1813474596,0.0541439913
-0.0683817430,-0.1062143403,3.4390592441,3.1328475475,-0.0204772707,0.0319357254
-0.0659426841,-0.1027189833,3.4254792442,3.0618505478,-0.2045080066,0.0613052957
-0.0659426841,-0.1027189833,3.4254792442,3.0618505478,-0.2045080066,0.0613052957
-0.0676332027,-0.1021848647,3.3710485336,-3.0280840397,0.1813474596,0.0541439913
-0.0659426841,-0.1027189833,3.4254792442,3.0618505478,-0.2045080066,0.0613052957
-0.0659426841,-0.1027189833,3.4254792442,3.0618505478,-0.2045080066,0.0613052957
-0.0676332027,-0.1021848647,3.3710485336,-3.0280840397,0.1813474596,0.0541439913
-0.0683817430,-0.1062143403,3.4390592441,3.1328475475,-0.0204772707,0.0319357254
-0.0676332027,-0.1021848647,3.3710485336,-3.0280840397,0.1813474596,0.0541439913
-0.0683817430,-0.1062143403,3.4390592441,3.1328475475,-0.0204772707,0.0319357254
-0.0683817430,-0.1062143403,3.4390592441,3.1328475475,-0.0204772707,0.0319357254
-0.0676332027,-0.1021848647,3.3710485336,-3.0280840397,0.1813474596,0.0541439913
-0.0676332027,-0.1021848647,3.3710485336,-3.0280840397,0.1813474596,0.0541439913
-0.0659426841,-0.1027189833,3.4254792442,3.0618505478,-0.2045080066,0.0613052957
-0.0683817430,-0.1062143403,3.4390592441,3.1328475475,-0.0204772707,0.0319357254
-0.0676332027,-0.1021848647,3.3710485336,-3.0280840397,0.1813474596,0.0541439913
-0.0676332027,-0.1021848647,3.3710485336,-3.0280840397,0.1813474596,0.0541439913
-0.0676332027,-0.1021848647,3.3710485336,-3.0280840397,0.1813474596,0.0541439913
-0.0668107263,-0.1017560201,3.3857725600,2.9865949154,-0.1883862168,0.0586253181
